Source Name	Characteristics[organism]	Term Source REF	Term Accession Number	Characteristics[organism part]	Term Source REF	Term Accession Number	Protocol REF	Sample Name	Factor Value[genotype]	Factor Value[sex]	Factor Value[animal generation]
Outbred1059	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1059	Outbred1059	M	68
Outbred106	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred106	Outbred106	M	64
Outbred1060	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1060	Outbred1060	M	68
Outbred1061	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1061	Outbred1061	M	68
Outbred1062	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1062	Outbred1062	M	68
Outbred1063	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1063	Outbred1063	M	68
Outbred1064	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1064	Outbred1064	M	68
Outbred1065	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1065	Outbred1065	M	68
Outbred1066	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1066	Outbred1066	M	68
Outbred1067	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1067	Outbred1067	M	68
Outbred1068	Rattus norvegicus	NCBITaxon	NCBITaxon:10116	multi-cellular organism	UBERON	UBERON:0000468	Animals	Outbred1068	Outbred1068	M	68
