"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection order]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Polarity]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Preservative]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Timepoint]"	"Unit"	"Term Source REF"	"Term Accession Number"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F0-2_NEG"	"sample"	""	""	"57"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F0-3_NEG"	"sample"	""	""	"22"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F12-1_NEG"	"sample"	""	""	"55"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F12-2_NEG"	"sample"	""	""	"61"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F12-3_NEG"	"sample"	""	""	"23"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F24-1_NEG"	"sample"	""	""	"43"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F24-2_NEG"	"sample"	""	""	"48"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F24-3_NEG"	"sample"	""	""	"47"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F36-1_NEG"	"sample"	""	""	"35"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F36-2_NEG"	"sample"	""	""	"26"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F36-3_NEG"	"sample"	""	""	"19"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F48-1_NEG"	"sample"	""	""	"50"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F48-2_NEG"	"sample"	""	""	"62"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F48-3_NEG"	"sample"	""	""	"63"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F72-1_NEG"	"sample"	""	""	"38"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F72-2_NEG"	"sample"	""	""	"31"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_F72-3_NEG"	"sample"	""	""	"56"	""	""	"negative"	""	""	"ex1"	""	""	"fridge"	""	""	"no"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_2_NEG_1"	"pool"	""	""	"9"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_2_NEG_2"	"pool"	""	""	"12"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_2_NEG_3"	"pool"	""	""	"15"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_4_NEG_1"	"pool"	""	""	"8"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_4_NEG_2"	"pool"	""	""	"11"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_4_NEG_3"	"pool"	""	""	"14"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_5_NEG_1"	"pool"	""	""	"7"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_5_NEG_2"	"pool"	""	""	"10"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_5_NEG_3"	"pool"	""	""	"13"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_EI_NEG"	"pool"	""	""	"5"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_EI_NEG_1"	"pool"	""	""	"17"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_EI_NEG_2"	"pool"	""	""	"29"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_EI_NEG_3"	"pool"	""	""	"41"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_EI_NEG_4"	"pool"	""	""	"53"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_EI_NEG_5"	"pool"	""	""	"65"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_NEG"	"pool"	""	""	"6"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_NEG_1"	"pool"	""	""	"18"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_NEG_2"	"pool"	""	""	"30"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_NEG_3"	"pool"	""	""	"42"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_NEG_4"	"pool"	""	""	"54"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_Pool_NEG_5"	"pool"	""	""	"66"	""	""	"negative"	""	""	"ex1"	""	""	"NA"	""	""	"NA"	""	""	"NA"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT0-1_NEG"	"sample"	""	""	"45"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT0-2_NEG"	"sample"	""	""	"36"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT0-3_NEG"	"sample"	""	""	"24"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT12-1_NEG"	"sample"	""	""	"51"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT12-2_NEG"	"sample"	""	""	"25"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT12-3_NEG"	"sample"	""	""	"27"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT24-1_NEG"	"sample"	""	""	"37"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT24-2_NEG"	"sample"	""	""	"58"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT24-3_NEG"	"sample"	""	""	"33"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT36-1_NEG"	"sample"	""	""	"44"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT36-2_NEG"	"sample"	""	""	"32"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT36-3_NEG"	"sample"	""	""	"49"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT48-1_NEG"	"sample"	""	""	"21"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT48-2_NEG"	"sample"	""	""	"46"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT48-3_NEG"	"sample"	""	""	"39"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"48"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"urine"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"100726_RT72-1_NEG"	"sample"	""	""	"59"	""	""	"negative"	""	""	"ex1"	""	""	"room_temperature"	""	""	"no"	""	""	"72"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
