"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Extraction Solvent]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Metabolism Preservation Method]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Subsampling Method]"	"Term Source REF"	"Term Accession Number"
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Lyo_03"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Lyo_04"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Lyo_05"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Homogenate"	""	""
"Permit FKNMS-2016-021"	"Orbicella faveolata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48498"	"endometabolome"	""	""	"Sample collection"	"OFAV_Lyo_06"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Homogenate"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_U_Nub_01"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Nubbin"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_U_Nub_02"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Nubbin"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_U_Nub_03"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Nubbin"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_U_TP_01"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Tissue Powder"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_U_TP_02"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Tissue Powder"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_U_TP_03"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Tissue Powder"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_GA_TP_01"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Tissue Powder"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_GA_TP_02"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Tissue Powder"	""	""
"Hawaii DAR SAP-2011-1"	"Porites compressa"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/46720"	"endometabolome"	""	""	"Sample collection"	"PCOM_GA_TP_03"	"Bligh and Dyer"	""	""	"Lyophilized"	""	""	"Tissue Powder"	""	""
