"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Diet]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob11"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob12"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob13"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob14"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob16"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob17"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob18"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob19"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob20"	"standard chow diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob21"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob22"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob23"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob24"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob25"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob26"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob27"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob28"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob29"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob30"	"standard chow diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob31"	"standard chow diet"	""	""	"14"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob32"	"standard chow diet"	""	""	"14"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob33"	"standard chow diet"	""	""	"14"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob34"	"standard chow diet"	""	""	"14"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob35"	"standard chow diet"	""	""	"14"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob36"	"standard chow diet"	""	""	"14"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob41"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob42"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob43"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob44"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob45"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob46"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob47"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob48"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob49"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob50"	"high fat diet"	""	""	"2"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob51"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob52"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob53"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob54"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob55"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob56"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob57"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob58"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob59"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob60"	"high fat diet"	""	""	"4"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob61"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob62"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob63"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob64"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob65"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob66"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob67"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob68"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob69"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
"cardiac tissue extracts"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"heart ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000862"	"Sample collection"	"obob70"	"high fat diet"	""	""	"10"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"ObOb"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002747"
