"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Dose]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Group]"	"Term Source REF"	"Term Accession Number"
"11"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"11"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"12"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"12"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control"	""	""
"13"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"13"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control Rec."	""	""
"14"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"14"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control Rec."	""	""
"15"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"15"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control Rec."	""	""
"16"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"16"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control Rec."	""	""
"17"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"17"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control Rec."	""	""
"18"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"18"	"0"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Control Rec."	""	""
"19"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"19"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
"20"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Crl:CD(SD)"	"RS"	"http://purl.obolibrary.org/obo/RS_0000064"	"liver"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000759"	"Sample collection"	"20"	"30"	"milligram per kilogram per day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000311"	"Low"	""	""
