"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[sampling time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"WB_060212_ASWAT_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_17"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_18"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_19"	"white adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_20"	"white adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_21"	"white adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_22"	"white adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_23"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_24"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_24"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_25"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_26"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_28"	"white adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_29"	"white adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_30"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_30"	"white adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_31"	"white adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_32"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_33"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_33"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_34"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_34"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_35"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_35"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_36"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_36"	"white adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_37"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_37"	"white adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_39"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_39"	"white adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_40"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_40"	"white adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_41"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_41"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_42"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_42"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_43"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_43"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_44"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_44"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_45"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_45"	"white adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_46"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_46"	"white adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_47"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_47"	"white adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_48"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_48"	"white adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_50"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_50"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_51"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_51"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_52"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_52"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_53"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_53"	"white adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_54"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_54"	"white adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_55"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_55"	"white adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_56"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_56"	"white adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_060212_ASWAT_57"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"white adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001456"	"Sample collection"	"WB_060212_ASWAT_57"	"white adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_06"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_06"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_07"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_07"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_08"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_08"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_09"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_09"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_10"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_10"	"brown adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_11"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_11"	"brown adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_12"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_12"	"brown adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_13"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_13"	"brown adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_14"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_15"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_17"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_17"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_18"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_18"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_19"	"brown adipose tissue"	""	""	"WT"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_20"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_20"	"brown adipose tissue"	""	""	"WT"	""	""	"6"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_21"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_21"	"brown adipose tissue"	""	""	"WT"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	""	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_22"	"brown adipose tissue"	""	""	"WT"	""	""	"18"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"WB_CC_BAT_23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Arntl-/-"	""	""	"brown adipose tissue"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000156"	"Sample collection"	"WB_CC_BAT_23"	"brown adipose tissue"	""	""	"Arntl-/-"	""	""	"0"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
