"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Gender]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"
"callipyge_plasma_127"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_127"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_128"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_128"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_129"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_129"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_130"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_130"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_131"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_131"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Callipyge"	""	""
"callipyge_plasma_132"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_132"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Callipyge"	""	""
"callipyge_plasma_133"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_133"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Female"	""	""	"Callipyge"	""	""
"callipyge_plasma_134"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_134"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Normal"	""	""
"callipyge_plasma_135"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_135"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
"callipyge_plasma_136"	"Ovis aries"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9940"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"callipyge_plasma_136"	"12"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"Male"	""	""	"Callipyge"	""	""
