"Sample Name"	"Protocol REF"	"Parameter Value[Post Extraction]"	"Parameter Value[Derivatization]"	"Extract Name"	"Protocol REF"	"Parameter Value[Chromatography Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Column model]"	"Parameter Value[Column type]"	"Labeled Extract Name"	"Label"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Parameter Value[Scan polarity]"	"Parameter Value[Scan m/z range]"	"Parameter Value[Instrument]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Ion source]"	"Term Source REF"	"Term Accession Number"	"Parameter Value[Mass analyzer]"	"Term Source REF"	"Term Accession Number"	"MS Assay Name"	"Raw Spectral Data File"	"Protocol REF"	"Normalization Name"	"Derived Spectral Data File"	"Protocol REF"	"Data Transformation Name"	"Metabolite Assignment File"	"Factor Value[Injection order]"	"Term Source REF"	"Term Accession Number"
"GreenTea_Sample02"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S02n02"	"POS_ToF_GreenTea_S02n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"59"	""	""
"GreenTea_Sample02"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S02n03"	"POS_ToF_GreenTea_S02n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"96"	""	""
"GreenTea_Sample03"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S03n01"	"POS_ToF_GreenTea_S03n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"84"	""	""
"GreenTea_Sample03"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S03n02"	"POS_ToF_GreenTea_S03n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"124"	""	""
"GreenTea_Sample03"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S03n03"	"POS_ToF_GreenTea_S03n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"150"	""	""
"GreenTea_Sample04"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S04n01"	"POS_ToF_GreenTea_S04n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"50"	""	""
"GreenTea_Sample04"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S04n02"	"POS_ToF_GreenTea_S04n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"41"	""	""
"GreenTea_Sample04"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S04n03"	"POS_ToF_GreenTea_S04n03.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"164"	""	""
"GreenTea_Sample05"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S05n01"	"POS_ToF_GreenTea_S05n01.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"83"	""	""
"GreenTea_Sample05"	"Extraction"	""	"none"	""	"Chromatography"	"Waters ACQUITY UPLC H-Class System"	""	""	"C18-PFP (2 μm, 2.1 mm x 150 mm; ACE)"	"reverse phase"	""	""	""	""	"Mass spectrometry"	"positive"	"60-800"	"Waters Xevo G2-S Tof"	""	""	"electrospray ionization"	"MS"	"http://purl.obolibrary.org/obo/MS_1000073"	"time-of-flight"	"MS"	"http://purl.obolibrary.org/obo/MS_1000084"	"POS_ToF_GreenTea_S05n02"	"POS_ToF_GreenTea_S05n02.mzXML"	"Data transformation"	""	""	"Metabolite identification"	""	"m_mtbls771_POS_TOF_mass_spectrometry_v2_maf.tsv"	"119"	""	""
