"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Apple number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample type]"	"Term Source REF"	"Term Accession Number"
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_02"	""	""	""	"7"	""	""	"2"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_02"	""	""	""	"97"	""	""	"2"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_03"	""	""	""	"23"	""	""	"3"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_04"	""	""	""	"40"	""	""	"4"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_05"	""	""	""	"56"	""	""	"5"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_06"	""	""	""	"73"	""	""	"6"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_07"	""	""	""	"90"	""	""	"7"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_08"	""	""	""	"113"	""	""	"8"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_09"	""	""	""	"130"	""	""	"9"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_10"	""	""	""	"148"	""	""	"10"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_11"	""	""	""	"167"	""	""	"11"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	""	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr002_12"	""	""	""	"178"	""	""	"12"	""	""	"1"	""	""	"STDmix"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr101_01"	"1"	""	""	"124"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr102_01"	"2"	""	""	"59"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr103_01"	"3"	""	""	"53"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr104_01"	"4"	""	""	"60"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr105_01"	"5"	""	""	"141"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr106_01"	"6"	""	""	"172"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr107_01"	"7"	""	""	"105"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr108_01"	"8"	""	""	"102"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr109_01"	"9"	""	""	"36"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr110_01"	"10"	""	""	"8"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr111_01"	"11"	""	""	"44"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr112_01"	"12"	""	""	"46"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr113_01"	"13"	""	""	"52"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr113_02"	"13"	""	""	"74"	""	""	"2"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr113_03"	"13"	""	""	"117"	""	""	"3"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr113_04"	"13"	""	""	"142"	""	""	"4"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr113_05"	"13"	""	""	"176"	""	""	"5"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr114_01"	"14"	""	""	"163"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Incognito"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr115_01"	"15"	""	""	"144"	""	""	"1"	""	""	"1"	""	""	"Incognito"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr201_01"	"1"	""	""	"110"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
"FEM collection"	"Malus domestica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3750"	"Malus x domestica Borkh. cv. Ruby Gala"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"nr202_01"	"2"	""	""	"164"	""	""	"1"	""	""	"1"	""	""	"Ruby Gala"	""	""
