"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Infection]"	"Term Source REF"	"Term Accession Number"
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AM_3"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AP_3"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_5"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AM_5"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_AP_5"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_QC4"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_A_7"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_QC5"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D_QC6"	""	""	""
"n/a"	"blank"	""	""	"blank"	""	""	"blank"	""	""	"Sample collection"	"D_blank2"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC0"	""	""	""
"n/a"	"blank"	""	""	"blank"	""	""	"blank"	""	""	"Sample collection"	"L_blank1"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC1"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC2"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC3"	""	""	""
"n/a"	"blank"	""	""	"blank"	""	""	"blank"	""	""	"Sample collection"	"L_blank2"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC4"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_A_1"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AM_1"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AP_1"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_A_4"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AM_4"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AP_4"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC5"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_A_2"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AM_2"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AP_2"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_A_5"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AM_5"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AP_5"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC6"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_A_3"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AM_3"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AP_3"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_A_6"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AM_6"	"Mel"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_AP_6"	"MelPop"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC7"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_A_7"	"none"	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC8"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC9"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC10"	""	""	""
"Sinkins lab"	"Aedes albopictus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/7160"	"Aedes albopictus Aa23"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"L_QC11"	""	""	""
