"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[tissue type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[collision energy]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Methanol extraction]"	"Unit"	"Term Source REF"	"Term Accession Number"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR2_20EV"	"corolla tube"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR2_30EV"	"corolla tube"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR2_40EV"	"corolla tube"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"corolla tube"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0005660"	"Sample collection"	"COR2_50EV"	"corolla tube"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL1_MS"	"filament"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL1_20EV"	"filament"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL1_30EV"	"filament"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL1_40EV"	"filament"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL1_50EV"	"filament"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL2_MS"	"filament"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL2_20EV"	"filament"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL2_30EV"	"filament"	""	""	"30EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL2_40EV"	"filament"	""	""	"40EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"filament"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000463"	"Sample collection"	"FIL2_50EV"	"filament"	""	""	"50EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA1_MS"	"rosette leaf"	""	""	"N/A"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA1_20EV"	"rosette leaf"	""	""	"20EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA1_30EV"	"rosette leaf"	""	""	"30EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA1_40EV"	"rosette leaf"	""	""	"40EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA1_50EV"	"rosette leaf"	""	""	"50EV"	""	""	"20"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA2_MS"	"rosette leaf"	""	""	"N/A"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
"ITB Tissue idMS/MS"	"Nicotiana attenuata"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/49451"	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"LEA2_20EV"	"rosette leaf"	""	""	"20EV"	""	""	"80"	"volume percentage"	"UO"	"http://purl.obolibrary.org/obo/UO_0000165"
