"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experimental groups]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment]"	"Term Source REF"	"Term Accession Number"
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hC3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hD1a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hD2a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated12hD3a"	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated24hA1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated24hA2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated24hA3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated24hB1a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated24hB2a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
"Intracellular"	"Arabidopsis thaliana"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana str. Col-0"	""	""	"callus"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001010"	"Sample collection"	"IntraTreated24hB3a"	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"80"	"microgram per milliliter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000274"	"LPS-treated"	""	""
