"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Addition of TEA]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Storage]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_00"	"no"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_01"	"no"	""	""	"1"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_02"	"no"	""	""	"2"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_05"	"no"	""	""	"5"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_07"	"no"	""	""	"7"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_09"	"no"	""	""	"9"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_16"	"no"	""	""	"16"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_20"	"no"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_22"	"no"	""	""	"22"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
"Grape extract"	"Vitis vinifera"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/29760"	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"day_29"	"no"	""	""	"29"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"
