"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experiment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Disease]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Injection]"	"Term Source REF"	"Term Accession Number"
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_7b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_8a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_8b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_9a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_9b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_10a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_10b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_11a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_11b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_12a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_12b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_13a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_13b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_14a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_14b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_15a_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj1"	""	""
"Human blood serum"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"Exp1_CRR_15b_NEG"	"Exp1"	""	""	"CRR"	""	""	"Inj2"	""	""
