"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Human state]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Disease]"	"Term Source REF"	"Term Accession Number"
"NormAH8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH8"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH9"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH10"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH11"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH12"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH12"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormAH13"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Sample collection"	"NormAH13"	"Aqueous Humor"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C13190"	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn1"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn2"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn3"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn4"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn5"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn6"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn7"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn8"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn9"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn9"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn10"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn10"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn11"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn11"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn14"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn14"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
"NormCorn15"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"cornea"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000286"	"Sample collection"	"NormCorn15"	"cornea"	"EFO"	""	"Cadaver"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C113674"	"none"	""	""
