"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Light]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Temperature]"	"Unit"	"Term Source REF"	"Term Accession Number"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"Ambient_1"	"1"	""	""	"Ambient"	""	""	"Ambient"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_009"	"9"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_010"	"10"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_011"	"11"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"blank"	""	""	""	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"Blank_End_Run"	"2"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MSMS_100-500mz Pos"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MSMS_500-1000mz Pos"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MSMS_1000-2000mz Pos"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MS3_top3_100-500mz Pos"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MS3_top3_500-1000mz Pos"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MS3_top3_1000-2000mz Pos"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MSMS_100-500mz Neg"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MSMS_500-1000mz Neg"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
"NIBIO Exp 1"	"Ribes nigrum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/78511"	"Ribes nigrum cv. Narve Viking"	""	""	"berry"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000119"	"Sample collection"	"QC_MSMS_1000-2000mz Neg"	"1"	""	""	"N/A"	""	""	"N/A"	"degree Celsius"	"UO"	"http://purl.obolibrary.org/obo/UO_0000027"
