"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"
"2195437"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195437"
"2143361"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2143361"
"2124909"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2124909"
"2124914"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2124914"
"2124919"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2124919"
"2124924"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2124924"
"2124929"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2124929"
"2163887"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163887"
"2165483"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2165483"
"2165488"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2165488"
"2165493"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2165493"
"2165498"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2165498"
"2178477"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2178477"
"2178482"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2178482"
"2179500"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179500"
"2179505"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179505"
"2179510"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179510"
"2195870"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195870"
"2195875"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195875"
"2195880"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195880"
"2195885"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195885"
"2195890"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195890"
"2172172"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2172172"
"2125644"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2125644"
"2125649"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2125649"
"2125654"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2125654"
"2125659"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2125659"
"2125664"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2125664"
"2163833"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163833"
"2163867"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163867"
"2163872"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163872"
"2163877"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163877"
"2163882"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163882"
"2179515"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179515"
"2179520"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179520"
"2179554"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179554"
"2179559"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179559"
"2179564"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179564"
"2195816"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195816"
"2195821"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195821"
"2195826"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195826"
"2195831"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195831"
"2195836"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2195836"
"2172177"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2172177"
"2127685"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2127685"
"2127690"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2127690"
"2127695"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2127695"
"2127700"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2127700"
"2127705"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2127705"
"2161108"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2161108"
"2163813"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163813"
"2163818"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163818"
"2163823"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163823"
"2163828"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2163828"
"2179569"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179569"
"2179574"	"Macaca mulatta;NCBITAXON:Plasmodium coatneyi"	"NCBITAXON"	""	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"2179574"
