"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cultivars]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Sample Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_30"	"CNR"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_47"	"RIN"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_47"	"NOR"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_47"	"AC+"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_47"	"CNR"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_51"	"NOR"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_51"	"RIN"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_51"	"CNR"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_51"	"AC+"	""	""	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_53"	"NOR"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_53"	"AC+"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_53"	"RIN"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_53"	"CNR"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_20"	"AC+"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_20"	"RIN"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_20"	"CNR"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_20"	"NOR"	""	""	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_40"	"RIN"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_40"	"NOR"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_40"	"AC+"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_40"	"CNR"	""	""	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_15"	"NOR"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_15"	"AC+"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_15"	"CNR"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_15"	"RIN"	""	""	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_54"	"AC+"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_54"	"NOR"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_54"	"CNR"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_54"	"RIN"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_48"	"CNR"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_48"	"RIN"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_48"	"AC+"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_48"	"NOR"	""	""	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_52"	"CNR"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_52"	"NOR"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_52"	"RIN"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_52"	"AC+"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_49"	"RIN"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_49"	"AC+"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_49"	"NOR"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_49"	"CNR"	""	""	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_AC+_50"	"AC+"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_CNR_50"	"CNR"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_NOR_50"	"NOR"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"02_RIN_50"	"RIN"	""	""	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"2"	""	""
"in-house standard tomato"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Angelle"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_TomQC"	"QC"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_Mixed"	"Mix"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_53"	"AC+"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_53"	"RIN"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_53"	"CNR"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_53"	"NOR"	""	""	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"solvent"	"blank"	""	""	""	""	""	"solvent"	"BAO"	"http://purl.obolibrary.org/obo/CHEBI_46787"	"Sample collection"	"03_Blank"	"Blank"	""	""	"0"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_47"	"CNR"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_47"	"RIN"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_47"	"NOR"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_47"	"AC+"	""	""	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_30"	"NOR"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_30"	"RIN"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_30"	"CNR"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_30"	"AC+"	""	""	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_AC+_52"	"AC+"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_52"	"CNR"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_52"	"NOR"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, ripening inhibited"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_RIN_52"	"RIN"	""	""	"52"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, colourless non-ripe"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_CNR_54"	"CNR"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
"monogenic mutant, non ripening locus"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"03_NOR_54"	"NOR"	""	""	"54"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"3"	""	""
