"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[MeJA treatment ]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Experimental Group]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlA1b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlA2b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlA3b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlB1b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlB2b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlB3b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlC1b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlC2b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJAControlC3b"	"Non-treated"	""	""	"0.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
"Intracellular "	"Centella asiatica"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/48106"	"stem"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001300"	"Sample collection"	"MeJA100uMA1b"	"Treated"	""	""	"100.0"	"micromolar"	"UO"	"http://purl.obolibrary.org/obo/UO_0000064"
