"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[batch]"	"Term Source REF"	"Term Accession Number"
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BisphenolA_B3_Rep1"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BisphenolA_B3_Rep2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BisphenolA_B3_Rep3"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B1_Rep1_151215123301"	"Rep1"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B1_Rep1_2"	"Rep1"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B1_Rep1"	"Rep1"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B1_Rep2_2"	"Rep2"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B1_Rep2"	"Rep2"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B1_Rep3_2"	"Rep3"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B1_Rep3"	"Rep3"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B2_Rep1_2"	"Rep1"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B2_Rep1"	"Rep1"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B2_Rep2_2"	"Rep2"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B2_Rep2"	"Rep2"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B2_Rep3_2"	"Rep3"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B2_Rep3"	"Rep3"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B3_Rep1_2"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B3_Rep1"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B3_Rep2_2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B3_Rep2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B3_Rep3_2"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B3_Rep3"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B4_Rep1_2"	"Rep1"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B4_Rep1"	"Rep1"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B4_Rep2_2"	"Rep2"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B4_Rep2"	"Rep2"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B4_Rep3_2"	"Rep3"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"BLANK_B4_Rep3"	"Rep3"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Bortezomib_B1_Rep1"	"Rep1"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Bortezomib_B1_Rep2"	"Rep2"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Bortezomib_B1_Rep3"	"Rep3"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Chloroquine_B3_Rep1"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Chloroquine_B3_Rep2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Chloroquine_B3_Rep3"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B1_Rep1_2"	"Rep1"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B1_Rep1"	"Rep1"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B1_Rep2_2"	"Rep2"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B1_Rep2"	"Rep2"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B1_Rep3_2"	"Rep3"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B1_Rep3"	"Rep3"	""	""	"Batch1"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B2_Rep1_2"	"Rep1"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B2_Rep2_2"	"Rep2"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B2_Rep2"	"Rep2"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B2_Rep3_2"	"Rep3"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B2_Rep3"	"Rep3"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B3_Rep1_2"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B3_Rep1"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B3_Rep2_2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B3_Rep2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B3_Rep3_2"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B3_Rep3"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B4_Rep1_2"	"Rep1"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B4_Rep1"	"Rep1"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B4_Rep2_2"	"Rep2"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B4_Rep2"	"Rep2"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B4_Rep3_2"	"Rep3"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Control_B4_Rep3"	"Rep3"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Daidzein_B4_Rep1"	"Rep1"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Daidzein_B4_Rep2"	"Rep2"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Daidzein_B4_Rep3"	"Rep3"	""	""	"Batch4"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Dexamethasone_B3_Rep1"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Dexamethasone_B3_Rep2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Dexamethasone_B3_Rep3"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Diethylstilbestrol_B2_Rep1"	"Rep1"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Diethylstilbestrol_B2_Rep2"	"Rep2"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Diethylstilbestrol_B2_Rep3"	"Rep3"	""	""	"Batch2"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Dimephentioate_B3_Rep1"	"Rep1"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Dimephentioate_B3_Rep2"	"Rep2"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Dimephentioate_B3_Rep3"	"Rep3"	""	""	"Batch3"	""	""
"ATCC, www.atcc.org, Manassas, VA"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"MCF-10A cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001939"	"Sample collection"	"Diuron1.3_B1_Rep1"	"Rep1"	""	""	"Batch1"	""	""
