"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variety]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Maufacturing process]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Withering duration]"	"Unit"	"Term Source REF"	"Term Accession Number"
"white tea-12 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-12 h-2"	"withering"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-12 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-12 h-3"	"withering"	""	""	"12"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-16 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-16 h-1"	"withering"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-16 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-16 h-2"	"withering"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-16 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-16 h-3"	"withering"	""	""	"16"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-20 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-20 h-1"	"withering"	""	""	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-20 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-20 h-2"	"withering"	""	""	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-20 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-20 h-3"	"withering"	""	""	"20"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-24 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-24 h-1"	"withering"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-24 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-24 h-2"	"withering"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-24 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-24 h-3"	"withering"	""	""	"24"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-28 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-28 h-1"	"withering"	""	""	"28"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-28 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-28 h-2"	"withering"	""	""	"28"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-28 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-28 h-3"	"withering"	""	""	"28"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-36 h-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-36 h-1"	"withering"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-36 h-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-36 h-2"	"withering"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-36 h-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-36 h-3"	"withering"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-36 h-4"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-36 h-4"	"withering"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-36 h-5"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-36 h-5"	"withering"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"white tea-36 h-6"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"white tea-36 h-6"	"withering"	""	""	"36"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"green tea-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"green tea-1"	"green tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"green tea-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"green tea-2"	"green tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"green tea-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"green tea-3"	"green tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"green tea-4"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"green tea-4"	"green tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"green tea-5"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"green tea-5"	"green tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"green tea-6"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"green tea-6"	"green tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"black tea-1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"black tea-1"	"black tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"black tea-2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"black tea-2"	"black tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"black tea-3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"black tea-3"	"black tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"black tea-4"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"black tea-4"	"black tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"black tea-5"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"black tea-5"	"black tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"black tea-6"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"black tea-6"	"black tea"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"QC1"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"QC1"	"QC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"QC2"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"QC2"	"QC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"QC3"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"QC3"	"QC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"QC4"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"QC4"	"QC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"QC5"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"QC5"	"QC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"QC6"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"QC6"	"QC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
"QC7"	"Camellia sinensis"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4442"	"leaf"	"EFO"	"http://purl.obolibrary.org/obo/PO_0025034"	"Fuding Dabaicha"	""	""	"sample collection"	"QC7"	"QC"	""	""	""	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"
