"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Adipose tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Connective tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Glandular tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Stroma tissue]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tumour]"	"Term Source REF"	"Term Accession Number"
"BRB07"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB07W"	"0"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB08"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB08D"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB08"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB08E"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB08"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB08N"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB08"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB08S"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB08"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB08W"	"1"	""	""	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""
"BRB09"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB09C"	"0"	""	""	"0"	""	""	"0"	""	""	"1"	""	""	"1"	""	""
"BRB09"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB09D"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB09"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB09E"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
"BRB09"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"breast cancer cell"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000150"	"Sample collection"	"BRB09N"	"1"	""	""	"1"	""	""	"0"	""	""	"0"	""	""	"0"	""	""
