"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time Point]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Meal]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Person]"	"Term Source REF"	"Term Accession Number"
"P_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"P"	""	""
"P_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"P"	""	""
"P_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"P"	""	""
"P_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"P"	""	""
"P_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_JU_T0"	"T0"	""	""	"Juice"	""	""	"P"	""	""
"P_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"P"	""	""
"P_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"P"	""	""
"P_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"P_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"P"	""	""
"R_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"R"	""	""
"R_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_EX_T0"	"T0"	""	""	"Extract"	""	""	"R"	""	""
"R_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"R"	""	""
"R_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"R"	""	""
"R_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"R"	""	""
"R_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"R"	""	""
"R_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_JU_T0"	"T0"	""	""	"Juice"	""	""	"R"	""	""
"R_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"R"	""	""
"R_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"R"	""	""
"R_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"R_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"R"	""	""
"S_EX_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_EX_T0_2"	"T0_2"	""	""	"Extract"	""	""	"S"	""	""
"S_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_EX_T0"	"T0"	""	""	"Extract"	""	""	"S"	""	""
"S_EX_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_EX_T2_5"	"T2_5"	""	""	"Extract"	""	""	"S"	""	""
"S_EX_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_EX_T5_8"	"T5_8"	""	""	"Extract"	""	""	"S"	""	""
"S_EX_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_EX_T8_24"	"T8_24"	""	""	"Extract"	""	""	"S"	""	""
"S_JU_T0_2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_JU_T0_2"	"T0_2"	""	""	"Juice"	""	""	"S"	""	""
"S_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_JU_T0"	"T0"	""	""	"Juice"	""	""	"S"	""	""
"S_JU_T2_5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_JU_T2_5"	"T2_5"	""	""	"Juice"	""	""	"S"	""	""
"S_JU_T5_8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_JU_T5_8"	"T5_8"	""	""	"Juice"	""	""	"S"	""	""
"S_JU_T8_24"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"S_JU_T8_24"	"T8_24"	""	""	"Juice"	""	""	"S"	""	""
"A_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_EX_T0"	"T0"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_EX_T1"	"T1"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_EX_T2"	"T2"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_EX_T3"	"T3"	""	""	"Extract"	""	""	"A"	""	""
"A_EX_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_EX_T5"	"T5"	""	""	"Extract"	""	""	"A"	""	""
"A_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_JU_T0"	"T0"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_JU_T1"	"T1"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_JU_T2"	"T2"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_JU_T3"	"T3"	""	""	"Juice"	""	""	"A"	""	""
"A_JU_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"A_JU_T5"	"T5"	""	""	"Juice"	""	""	"A"	""	""
"B_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_EX_T0"	"T0"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_EX_T1"	"T1"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_EX_T2"	"T2"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_EX_T3"	"T3"	""	""	"Extract"	""	""	"B"	""	""
"B_EX_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_EX_T5"	"T5"	""	""	"Extract"	""	""	"B"	""	""
"B_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_JU_T0"	"T0"	""	""	"Juice"	""	""	"B"	""	""
"B_JU_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_JU_T1"	"T1"	""	""	"Juice"	""	""	"B"	""	""
"B_JU_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_JU_T2"	"T2"	""	""	"Juice"	""	""	"B"	""	""
"B_JU_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_JU_T3"	"T3"	""	""	"Juice"	""	""	"B"	""	""
"B_JU_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"B_JU_T5"	"T5"	""	""	"Juice"	""	""	"B"	""	""
"C_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_EX_T0"	"T0"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_EX_T1"	"T1"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_EX_T2"	"T2"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_EX_T3"	"T3"	""	""	"Extract"	""	""	"C"	""	""
"C_EX_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_EX_T5"	"T5"	""	""	"Extract"	""	""	"C"	""	""
"C_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_JU_T0"	"T0"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_JU_T1"	"T1"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_JU_T2"	"T2"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_JU_T3"	"T3"	""	""	"Juice"	""	""	"C"	""	""
"C_JU_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"C_JU_T5"	"T5"	""	""	"Juice"	""	""	"C"	""	""
"D_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_EX_T0"	"T0"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_EX_T1"	"T1"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_EX_T2"	"T2"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_EX_T3"	"T3"	""	""	"Extract"	""	""	"D"	""	""
"D_EX_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_EX_T5"	"T5"	""	""	"Extract"	""	""	"D"	""	""
"D_JU_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_JU_T1"	"T1"	""	""	"Juice"	""	""	"D"	""	""
"D_JU_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_JU_T2"	"T2"	""	""	"Juice"	""	""	"D"	""	""
"D_JU_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"D_JU_T5"	"T5"	""	""	"Juice"	""	""	"D"	""	""
"E_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_EX_T0"	"T0"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_EX_T1"	"T1"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_EX_T2"	"T2"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_EX_T3"	"T3"	""	""	"Extract"	""	""	"E"	""	""
"E_EX_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_EX_T5"	"T5"	""	""	"Extract"	""	""	"E"	""	""
"E_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_JU_T0"	"T0"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_JU_T1"	"T1"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_JU_T2"	"T2"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_JU_T3"	"T3"	""	""	"Juice"	""	""	"E"	""	""
"E_JU_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"E_JU_T5"	"T5"	""	""	"Juice"	""	""	"E"	""	""
"F_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_EX_T0"	"T0"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_EX_T1"	"T1"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_EX_T2"	"T2"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_EX_T3"	"T3"	""	""	"Extract"	""	""	"F"	""	""
"F_EX_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_EX_T5"	"T5"	""	""	"Extract"	""	""	"F"	""	""
"F_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_JU_T0"	"T0"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_JU_T1"	"T1"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_JU_T2"	"T2"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_JU_T3"	"T3"	""	""	"Juice"	""	""	"F"	""	""
"F_JU_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"F_JU_T5"	"T5"	""	""	"Juice"	""	""	"F"	""	""
"G_EX_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_EX_T0"	"T0"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_EX_T1"	"T1"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_EX_T2"	"T2"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_EX_T3"	"T3"	""	""	"Extract"	""	""	"G"	""	""
"G_EX_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_EX_T5"	"T5"	""	""	"Extract"	""	""	"G"	""	""
"G_JU_T0"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_JU_T0"	"T0"	""	""	"Juice"	""	""	"G"	""	""
"G_JU_T1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_JU_T1"	"T1"	""	""	"Juice"	""	""	"G"	""	""
"G_JU_T2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_JU_T2"	"T2"	""	""	"Juice"	""	""	"G"	""	""
"G_JU_T5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"G_JU_T5"	"T5"	""	""	"Juice"	""	""	"G"	""	""
