"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[variety]"	"Term Source REF"	"Term Accession Number"	"Factor Value[location]"	"Term Source REF"	"Term Accession Number"
"Group-6.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD032"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD033"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD034"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD035"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD036"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD037"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-7"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD038"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-6.Subject-8"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD039"	"var. terengganu"	""	""	"Setiu"	""	""
"Group-7.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD049"	"var. angustifolia"	""	""	"Batu Pahat"	""	""
"Group-7.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD052"	"var. angustifolia"	""	""	"Batu Pahat"	""	""
"Group-7.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD053"	"var. angustifolia"	""	""	"Batu Pahat"	""	""
"Group-7.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD054"	"var. angustifolia"	""	""	"Batu Pahat"	""	""
"Group-7.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD055"	"var. angustifolia"	""	""	"Batu Pahat"	""	""
"Group-7.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. angustifolia"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD056"	"var. angustifolia"	""	""	"Batu Pahat"	""	""
"Group-8. Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD057"	"var. deltoidea"	""	""	"Batu Pahat"	""	""
"Group-8. Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD058"	"var. deltoidea"	""	""	"Batu Pahat"	""	""
"Group-8. Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD059"	"var. deltoidea"	""	""	"Batu Pahat"	""	""
"Group-8. Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD060"	"var. deltoidea"	""	""	"Batu Pahat"	""	""
"Group-8. Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD061"	"var. deltoidea"	""	""	"Batu Pahat"	""	""
"Group-8. Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. deltoidea"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD062"	"var. deltoidea"	""	""	"Batu Pahat"	""	""
"Group-9.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD069"	"var. terengganu"	""	""	"Batu Pahat"	""	""
"Group-9.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD070"	"var. terengganu"	""	""	"Batu Pahat"	""	""
"Group-9.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD071"	"var. terengganu"	""	""	"Batu Pahat"	""	""
"Group-9.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD072"	"var. terengganu"	""	""	"Batu Pahat"	""	""
"Group-9.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. terengganu"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD074"	"var. terengganu"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-1"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD075"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-2"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD077"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-3"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD078"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-4"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD079"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-5"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD080"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-6"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD081"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-7"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD082"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-8"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD083"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
"Group-10.Subject-9"	"Ficus deltoidea"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/182111"	"Ficus deltoidea var. kunstleri"	""	""	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"FD084"	"var. kunstleri"	""	""	"Batu Pahat"	""	""
