"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[flowering period]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[LED PPF]"	"Unit"	"Term Source REF"	"Term Accession Number"
"F_094_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_094_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_097_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_097_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_097_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_097_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"500"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_100_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_100_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_100_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_100_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_103_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_103_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_103_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_103_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_106_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_106_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_106_old_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_106_old_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"1000"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
"F_118_1"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Reiyo"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"F_118_1"	"1"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"	"200"	"Micromole per Second"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C85709"
