"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Time]"	"Unit"	"Term Source REF"	"Term Accession Number"
"Victoria Univeristy.Subject-04.bloodplasma-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-3"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-3"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-3"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-3"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-01.bloodplasma-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-4"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-4"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-4"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-04.bloodplasma-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-4"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-4"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-4"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-4"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-01.bloodplasma-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-5"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-5"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-5"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-04.bloodplasma-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-5"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-5"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-5"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-5"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-5"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-01.bloodplasma-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-04.bloodplasma-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-6"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-6"	"10"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-01.bloodplasma-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-7"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-7"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-7"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-04.bloodplasma-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-7"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-7"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-7"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-7"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-7"	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-01.bloodplasma-8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-01.bloodplasma-8"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-02.bloodplasma-8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-02.bloodplasma-8"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-03.bloodplasma-8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-03.bloodplasma-8"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-04.bloodplasma-8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-04.bloodplasma-8"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-05.bloodplasma-8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-05.bloodplasma-8"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-06.bloodplasma-8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-06.bloodplasma-8"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
"Victoria Univeristy.Subject-07.bloodplasma-8"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood plasma"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000131"	"Sample collection"	"Victoria Univeristy.Subject-07.bloodplasma-8"	"90"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"
