"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Sample Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cultivars]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Batch]"	"Term Source REF"	"Term Accession Number"
"R028 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R028"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R029 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R029"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R030 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R030"	"50"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R031 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R031"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R032 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R032"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R088 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R088"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R089 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R089"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R090 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R090"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R091 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R091"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R092 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R092"	"40"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R093 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R093"	"47"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R094 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R094"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R095 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R095"	"25"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R096 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R096"	"15"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R098 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R098"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R099 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R099"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R100 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R100"	"20"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R104 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R104"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R105 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R105"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R106 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R106"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"2"	""	""
"R107 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R107"	"30"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R108 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R108"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R109 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R109"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R110 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R110"	"53"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"3"	""	""
"R111 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R111"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R112 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R112"	"49"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R113 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R113"	"51"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"R114 ailsa craig"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"R114"	"48"	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	"AC++"	""	""	"1"	""	""
"Blank "	"blank"	""	""	""	""	""	"blank"	""	""	"Sample collection"	"Blank"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"in-house mixed amino acid standard "	"reference compound"	"BAO"	"http://www.bioassayontology.org/bao#BAO_0002092"	""	""	""	"mixture"	"CHEBI"	"http://purl.obolibrary.org/obo/CHEBI_60004"	"Sample collection"	"AAStd"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"in-house standard tomato QC "	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"QC"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"Std 4 pooled sample std mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Std4"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"Std 5 pooled sample std mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Std5"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"Std 6 pooled sample std mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Std6"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"Std1 pooled sample std mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Std1"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"Std2 pooled sample std mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Std2"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
"Std3 pooled sample std mix of AC+, RIN, NOR, CNR"	"Solanum lycopersicum"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4081"	"Solanum lycopersicum cv. Ailsa Craig"	""	""	"fruit"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000486"	"Sample collection"	"Std3"	""	"day"	"UO"	"http://purl.obolibrary.org/obo/UO_0000033"	""	""	""	""	""	""
