bucket [0.04ppm]	JGOAd1kCON1.TX_1_1	JGOAd1kCON2.TX_1_1	JGOAd1kCON3.TX_1_1	JGOAd2kcon1.TX_1_1	JGOAd2kcon2.TX_1_1	JGOAd2kcon3.TX_1_1	JGOAd3kcon1.TX_1_1	JGOAd3kcon2.TX_1_1	JGOAd3kcon3.TX_1_1	JGOAd14kcon1.T_1_1	JGOAd14kcon2.T_1_1	JGOAd14kcon3.T_1_1	JGOAd1kOA1.TX_1_1	JGOAk1d3.BBI_1_1	JGOAd1kOA2.TX_1_1	JGOAd2kOA1.TX_1_1	JGOAd2kOA2.TX_1_1	JGOAd2kOA3.TX_1_1	JGOAd3kOA1.TXI_1_1	JGOAd3kOA2.TXI_1_1	JGOAd3kOA3.TXI_1_1	JGOAd14kOA1.TX_1_1	JGOAd14kOA2.TX_1_1	JGOAd14kOA3.TX_1_1	JGOAd1wCON1.TX_1_1	JGOAd1wCON2.TX_1_1	JGOAd1wCON3.TX_1_1	JGOAd2wcon1.TX_1_1	JGOAd2wcon2.TX_1_1	JGOAd2wcon3.TX_1_1	JGOAd3wcon1.TX_1_1	JGOAd3wcon2.TX_1_1	JGOAd3wcon3.TX_1_1	JGham14c1.txi_1_1	JGham14c2.txi_1_1	JGham14c3.txi_1_1	JGOAd1wOA1.TX_1_1	JGOAd1wOA2.TX_1_1	JGOAd1wOA3.TX_1_1	JGOAd2wOA1.TX_1_1	JGOAd2wOA2.TX_1_1	JGOAd2wOA3.TX_1_1	JGOAd3woa1.TX_1_1	JGOAd3woa2.TX_1_1	JGOAd3woa3.TX_1_1	JGham14o1.txi_1_1	JGham14o2.txi_1_1	JGham14o3.txi_1_1
7.42	0.4384	0.1726	0.6937	0.106	0.1792	0.3129	0.4456	0.1906	0.0718	0.5762	0.4827	0.5869	0.4873	0.0457	0.2143	0.1954	0.2013	-0.85	0.4043	0.4044	0.1539	0.5743	0.4562	0.1459	0.1136	-0.0278	0.3466	-0.2133	0.4432	0.3537	0.2417	0.1396	0.0869	0.4373	0.6763	0.5837	0.1954	0.2305	0.5665	0.1693	0.2696	-0.2424	-0.3875	0.1084	0.1306	0.7934	0.8176	1.0515
7.38	0.3149	0.3503	0.6122	0.097	0.2897	0.323	0.514	0.1857	0.1401	0.7855	0.5218	0.6681	0.4729	0.2643	0.1438	0.2732	0.2796	-0.7233	0.5302	0.5213	0.2127	0.4124	0.5665	0.4595	0.2381	0.0055	0.404	-0.0991	0.2792	0.3141	0.1966	0.1463	0.1346	0.5298	0.7281	0.5861	0.5426	0.5615	0.6415	0.1915	0.156	-0.3222	-0.3422	0.0785	0.2729	0.5764	0.6083	0.8803
7.34	0.5447	0.1634	0.7397	-0.0277	0.1556	0.2992	0.4908	0.3321	0.2203	1.8182	1.914	2.3622	0.5149	0.5435	0.2448	0.197	0.1588	-0.793	0.47	0.4477	0.1611	2.026	0.79	1.5033	0.2207	0.0052	0.3642	-0.2427	0.4659	0.3518	0.2438	0.1259	0.1332	0.6513	0.9494	0.7621	0.3123	0.3325	0.8573	0.1562	0.3354	-0.1758	-0.3183	0.1989	0.2012	0.7725	0.8063	1.0381
7.3	0.2795	0.3915	0.6789	0.1696	0.253	0.3771	0.5619	0.2551	0.2134	2.5058	2.3217	3.206	0.4801	0.5084	0.1917	0.3247	0.401	-0.2876	0.5883	0.5503	0.2296	3.2813	0.8998	1.9663	0.2931	0.0358	0.6045	-0.0871	0.3812	0.312	0.3023	0.1329	0.0728	0.8883	1.0362	1.0413	0.6761	0.6275	0.7295	0.2499	0.2295	-0.2995	-0.1493	0.2177	0.3236	0.9263	0.8738	1.152
7.26	0.1764	0.2475	0.5226	0.1218	0.1058	0.2218	0.453	0.3363	0.2129	2.0281	1.9815	2.8047	0.3977	0.5301	0.041	0.2654	0.192	-0.603	0.4416	0.4635	0.0848	2.8676	0.9078	1.6244	0.1712	-0.0437	0.237	-0.2773	0.1765	0.2946	0.2282	0.1612	0.0382	0.9303	1.0661	1.0706	0.2666	0.284	0.8962	0.1457	0.1191	-0.3455	-0.2795	0.2758	0.3003	0.925	0.9381	1.1983
7.22	0.1459	0.152	0.4678	-0.1179	0.0385	0.1551	0.4056	0.2007	0.1829	2.0843	1.8783	2.8023	0.2941	0.5212	-0.0359	0.159	0.121	-0.733	0.3645	0.4811	0.1201	3.0671	0.8913	1.5355	0.0671	-0.1473	0.1341	-0.3936	0.1454	0.2092	0.1982	0.1498	0.0284	0.7988	0.9112	0.9088	0.1088	0.1311	0.6772	0.1254	0.083	-0.4832	-0.3436	0.2039	0.2344	0.8055	0.8166	1.0909
7.18	0.4136	0.1248	0.7295	-0.1318	0.0435	0.1353	0.4397	0.2099	0.0968	1.5999	1.2036	1.9645	0.4422	0.4374	0.2037	0.143	0.1378	-0.5588	0.3767	0.4165	0.036	2.2324	0.7214	0.9503	0.1459	-0.0895	0.1509	-0.4191	0.4117	0.2319	0.2244	0.0364	0.0592	0.8022	1.0469	0.8978	0.14	0.14	0.6094	0.0887	0.0823	-0.3716	-0.3963	0.037	0.1084	0.8698	0.8969	1.192
7.14	0.1171	0.0979	0.4696	-0.1521	0.0183	0.2116	0.5889	0.203	0.1602	1.1167	0.7667	1.3536	0.2739	0.4231	0.0337	0.1409	0.0757	-0.9249	0.3755	0.4337	0.1394	1.4629	0.6539	0.6604	0.1164	-0.1585	0.4573	-0.3636	0.1706	0.2116	0.2043	0.0606	-0.014	0.8833	0.9098	0.9763	0.0892	0.1125	0.6132	0.1288	0.191	-0.3803	-0.4291	0.1333	0.0952	0.8277	0.8114	1.1036
7.1	0.1045	0.3569	0.4044	-0.1019	0.0699	0.2164	0.462	0.1744	0.097	1.0592	0.7066	1.3832	0.213	0.4094	-0.0871	0.1079	0.0611	-0.8468	0.4899	0.3928	0.0813	1.4443	0.5802	0.4785	0.1915	-0.0848	0.229	-0.3606	0.1129	0.217	0.1493	0.0737	-0.0434	0.7802	0.8947	0.8413	0.6532	0.6095	0.5948	0.0516	0.0395	-0.427	-0.446	0.0753	0.1809	0.8071	0.8099	1.1095
7.06	0.0857	0.1794	0.4259	-0.1385	0.0498	0.1835	0.4635	0.1967	0.1443	0.6939	0.2547	0.7908	0.1794	0.7768	-0.0009	0.1208	0.0966	-1.0437	0.3712	0.5146	0.0967	0.9647	0.4099	0.0916	0.0864	-0.2115	0.1451	-0.2427	0.1233	0.2019	0.1635	0.0644	-0.022	0.6521	0.8388	0.7273	0.1503	0.1596	0.9068	0.0547	0.1041	-0.4156	-0.3933	0.0554	0.1199	0.8053	0.7657	1.0774
7.02	0.1753	0.1866	0.6093	0.053	0.0972	0.2001	0.4867	0.2065	0.1489	0.3721	-0.0548	0.4776	0.1795	0.17	-0.0327	0.1517	0.2114	-1.0728	0.3573	0.4097	0.1893	0.5743	0.2712	0.0101	0.1053	-0.2223	0.1489	-0.292	0.1026	0.2078	0.1891	0.0935	-0.0403	0.6169	1.1957	0.7156	0.1154	0.1407	0.5917	0.1898	0.0809	-0.4126	-0.4308	0.0546	0.1433	1.0752	1.0069	1.3449
6.98	0.1375	0.1474	0.4209	0.0819	0.0436	0.1439	0.5029	0.2223	0.202	0.2626	-0.1387	0.3461	0.1869	0.1175	0.0088	0.2528	0.1543	-1.3949	0.358	0.4058	0.1885	0.4941	0.1369	-0.1979	0.057	-0.2036	0.1387	-0.3866	0.0894	0.2104	0.1466	0.0107	-0.0704	0.879	0.7396	0.7501	0.1075	0.0898	0.6091	0.0611	0.0237	-0.3681	-0.457	0.009	0.083	0.6511	0.6694	0.9724
6.94	0.0947	0.2168	0.3847	0.0699	0.0643	0.1816	0.5576	0.1898	0.1197	0.2339	-0.1839	0.2327	0.1748	0.0514	-0.0425	0.2059	0.0975	-0.8798	0.3667	0.4168	0.1413	0.3555	0.1185	-0.104	0.0746	-0.2166	0.1405	-0.4027	0.104	0.2838	0.1712	0.0235	-0.0755	0.576	0.7226	0.5876	0.1344	0.0862	0.5603	0.1255	0.0147	-0.465	-0.4113	0.0127	0.1072	0.6819	0.6824	0.9765
6.9	0.3765	0.2409	0.3928	0.0769	0.0555	0.1943	0.5603	0.1822	0.1514	0.3442	-0.1149	0.288	0.2056	0.1205	0.1239	0.1632	0.1152	-1.4736	0.3536	0.3588	0.1346	0.4103	0.1787	-0.007	0.0704	-0.207	0.1549	-0.3845	0.2361	0.3476	0.1691	0.0537	-0.0089	0.4485	0.6637	0.4786	0.1642	0.0768	0.5778	0.0842	0.1163	-0.539	-0.3754	0.0316	0.0979	0.6526	0.6188	0.9093
6.86	0.2463	0.1197	0.5546	-0.0138	0.0564	0.179	0.5977	0.1707	0.1104	0.2234	-0.0576	0.353	0.3151	0.045	0.1396	0.1991	0.1434	-0.6737	0.3684	0.4083	0.1765	0.2921	0.1224	-0.0671	0.1402	-0.1735	0.1401	-0.4004	0.2671	0.289	0.1835	0.0848	0.0153	0.4018	0.7508	0.4869	0.0925	0.0599	0.5789	0.0911	0.1008	-0.4369	-0.4235	0.054	0.1303	0.6889	0.6931	0.9976
6.82	0.2644	0.1298	0.4297	-0.0713	0.0656	0.2973	0.7385	0.1782	0.1615	0.8294	0.2979	0.7522	0.2645	0.2249	0.1968	0.1174	0.1462	-0.6389	0.3614	0.3968	0.1333	0.9185	0.1263	0.3876	0.1124	-0.2344	0.6155	-0.5092	0.2562	0.3508	0.2151	0.0191	0.112	0.4697	0.7806	0.6471	0.0936	0.0481	0.5701	0.0559	0.3357	-0.3102	-0.4263	0.2063	0.1006	0.757	0.7257	1.0387
6.78	0.0364	0.4321	0.3098	-0.1577	0.1344	0.3449	0.5876	0.1678	0.0643	0.9402	0.4005	1.0319	0.1035	0.031	-0.0139	0.1305	0.0977	-0.5694	0.4824	0.4203	0.0839	1.1934	0.1322	0.2306	0.2272	-0.0342	0.2151	-0.4074	0.1321	0.2009	0.1701	0.0884	-0.0879	0.4728	0.6369	0.5589	0.5033	0.3805	0.5506	0.0149	0.0187	-0.3815	-0.4303	0.0475	0.1441	0.686	0.6342	0.9515
6.74	0.0089	0.2565	0.2614	-0.0224	0.1827	0.1866	0.5995	0.142	0.0914	0.3475	-0.1322	0.3814	0.0852	-0.1113	-0.0686	0.1183	0.1015	-0.8924	0.4601	0.48	0.1198	0.6091	-0.0042	-0.1733	0.2255	-0.2487	0.1273	-0.4471	0.1175	0.1432	0.1429	0.0158	-0.0368	0.2631	0.449	0.3336	0.473	0.4257	0.93	0.147	0.0116	-0.4657	-0.4545	0.0596	0.2212	0.5483	0.5207	0.8486
6.7	0.0407	0.109	0.1837	0.0035	0.031	0.1338	0.6327	0.1648	0.1321	0.0724	-0.4207	0.0419	0.0449	-0.1458	-0.0237	0.1456	0.0834	-1.439	0.3517	0.5302	0.1358	0.2166	-0.0845	-0.3246	0.0509	-0.2675	0.1067	-0.2323	0.1473	0.1496	0.1001	-0.0143	-0.0848	0.1082	0.3568	0.1783	0.1011	0.0432	0.6359	0.0971	0.0881	-0.3492	-0.4532	0.0051	0.0685	0.4309	0.447	0.7375
6.66	-0.0361	0.1021	0.1547	-0.0589	0.0411	0.1535	0.6263	0.2174	0.1256	0.0364	-0.483	-0.06	-0.0183	-0.3055	-0.0921	0.1539	0.0583	-1.0331	0.2905	0.5269	0.2539	0.1394	-0.0315	-0.309	0.0649	-0.2869	0.103	-0.4289	0.0723	0.1165	0.1481	-0.0284	-0.0828	-0.0085	0.3236	0.0882	0.0631	0.0035	0.5189	0.1382	0.0047	-0.5168	-0.427	0.0155	0.0761	0.4168	0.4256	0.7398
6.62	-0.0151	0.0987	0.1522	0.0467	0.0926	0.1334	0.6208	0.2671	0.1013	0.0003	-0.514	-0.1225	-0.0262	-0.3197	-0.075	0.1533	0.1523	-1.0007	0.2996	0.3791	0.255	0.0922	-0.249	-0.4655	0.0889	-0.3103	0.1088	-0.4534	0.1161	0.1699	0.1512	-0.0174	-0.1276	-0.0723	0.2942	0.051	0.0761	0.0038	0.512	0.1313	0.0334	-0.483	-0.4349	0.0321	0.0754	0.402	0.4225	0.7082
6.58	0.0411	0.1576	0.1686	0.2884	0.1752	0.2131	0.711	0.2116	0.0915	-0.0604	-0.5852	-0.2196	0.1165	-0.3903	0.0165	0.3388	0.2634	-0.271	0.3984	0.5097	0.2039	0.003	-0.3192	-0.4892	0.215	-0.2447	0.1282	-0.2424	0.1965	0.5053	0.4404	0.185	-0.0148	-0.0705	0.3312	0.0732	0.1082	0.053	0.5153	0.1674	0.1891	-0.256	-0.1137	0.1815	0.1523	0.4809	0.4565	0.7898
6.54	0.0323	0.1544	0.1648	-0.006	0.0728	0.1318	0.7235	0.1654	0.1937	-0.0996	-0.6335	-0.2746	0.0506	-0.3249	0.0197	0.2135	0.1058	-1.0841	0.367	0.4633	0.1912	-0.0387	-0.3733	-0.4207	0.0818	-0.2815	0.124	-0.4616	0.1694	0.223	0.3069	0.0683	-0.0763	-0.1413	0.296	0.0353	0.0997	0.0031	0.5651	0.143	0.1264	-0.354	-0.2212	0.1486	0.1596	0.3613	0.3935	0.6936
6.5	-0.0858	0.1476	0.0487	-0.0559	0.0749	0.1663	0.7446	0.2361	0.2034	-0.1348	-0.6341	-0.3045	0.0122	-0.4149	-0.0359	0.159	0.1101	-1.2933	0.288	0.4237	0.1904	-0.0727	-0.4051	-0.6047	0.0876	-0.2985	0.0671	-0.3969	0.1053	0.0241	0.1731	0.0438	-0.1036	-0.1863	0.2222	-0.0371	0.0721	-0.0382	0.509	0.0843	-0.0111	-0.4685	-0.4094	0.0759	0.0901	0.3719	0.3701	0.6625
6.46	-0.0847	0.085	0.0058	-0.0897	0.0097	0.1236	0.7682	0.1647	0.1038	-0.1677	-0.6361	-0.347	-0.0999	-0.4765	-0.1572	0.1665	0.0212	-1.4079	0.2549	0.4527	0.2031	-0.081	-0.4108	-0.5987	0.0275	-0.4033	0.0754	-0.3564	0.0607	0.0862	0.1547	-0.0087	-0.1365	-0.2848	0.2132	-0.0726	0.0524	-0.0678	0.4917	0.043	-0.0243	-0.486	-0.427	0.0514	0.0943	0.355	0.3711	0.6613
6.42	-0.079	0.0916	-0.0471	-0.0917	-0.0064	0.1199	0.836	0.2061	0.1024	-0.1576	-0.6399	-0.3729	-0.0985	-0.4847	-0.1312	0.1387	0.0952	-0.6708	0.2388	0.5035	0.2188	-0.1073	-0.4191	-0.5602	0.033	-0.3985	0.075	-0.48	0.0644	0.0739	0.1733	-0.011	-0.15	-0.3197	0.2153	-0.1075	0.0425	-0.067	0.4514	0.0121	0.0219	-0.5419	-0.4442	0.0362	0.1025	0.3848	0.3737	0.6796
6.38	-0.0736	0.1166	-0.0656	0.0307	0.0394	0.1397	0.8686	0.194	0.105	-0.1541	-0.575	-0.3709	-0.0818	-0.498	-0.135	0.1473	0.0744	-1.0238	0.246	0.542	0.3149	-0.0954	-0.4194	-0.5263	0.0631	-0.3707	0.0899	-0.4257	0.0772	0.112	0.1506	-0.0057	-0.1425	-0.3696	0.2181	-0.1175	0.0517	-0.0643	0.4419	0.0781	0.0113	-0.474	-0.4457	0.0384	0.1068	0.3958	0.396	0.6999
6.34	-0.0892	0.1173	-0.0481	-0.0282	0.0083	0.1321	0.9488	0.2521	0.0711	-0.0719	-0.4703	-0.3291	-0.1317	-0.5021	-0.1362	0.2196	0.055	-1.2323	0.2751	0.5932	0.3517	-0.0592	-0.3963	-0.3685	0.0978	-0.4434	0.0818	-0.4573	0.0414	0.0549	0.1999	-0.0372	-0.1533	-0.393	0.2282	-0.1299	0.0533	-0.0877	0.4329	0.0648	-0.0103	-0.4573	-0.4104	0.078	0.1039	0.4322	0.4161	0.7227
6.3	-0.0904	0.1464	-0.054	-0.0171	0.0375	0.1089	0.985	0.231	0.1404	0.2183	-0.195	-0.1019	-0.1334	-0.4881	-0.1461	0.1938	0.0816	-0.724	0.2712	0.6406	0.3546	0.1608	-0.3415	-0.2306	0.0789	-0.3954	0.1247	-0.3902	0.126	0.1275	0.279	0.0001	-0.1742	-0.4257	0.2836	-0.126	0.0644	-0.079	0.4321	0.0942	0.0236	-0.502	-0.2884	0.0514	0.0975	0.4808	0.4574	0.7616
6.26	-0.035	0.1692	-0.0723	-0.0004	0.0797	0.1617	1.0992	0.2623	0.1592	0.0104	-0.3153	-0.2646	-0.1506	-0.4503	-0.1199	0.235	0.14	-1.253	0.3083	0.7382	0.386	-0.0605	-0.2417	-0.3859	0.1244	-0.3836	0.113	-0.326	0.1441	0.2841	0.5391	-0.0074	-0.2194	-0.4085	0.3661	-0.1116	0.0655	-0.0615	0.4342	0.1009	0.1831	-0.4297	0.013	0.0992	0.1276	0.5643	0.514	0.8545
6.22	0.1871	0.3988	0.0923	0.3497	0.2906	0.4107	1.4082	0.2971	0.2108	1.0848	0.7968	0.4568	0.0092	-0.3751	0.1257	0.4389	0.3125	-1.3194	0.4859	1.624	0.7846	0.6269	-0.1726	0.2294	0.444	-0.1022	0.1445	0.181	0.531	0.5907	0.7786	0.3655	0.1256	-0.2094	0.687	0.186	0.0978	-0.0395	0.4317	0.3451	0.1829	0.0711	0.5012	0.6781	0.4367	0.8224	0.7705	1.0887
6.18	0.4075	0.5838	0.2586	0.3019	0.5193	0.3903	1.887	0.6783	0.6682	2.0764	1.0298	0.9404	0.276	0.018	0.4847	0.405	0.3211	-0.8181	0.7579	1.3627	0.7668	0.9511	0.0813	0.6512	0.9863	0.4563	0.1934	0.4239	1.1881	4.626	3.0469	0.5129	0.5056	-0.1912	0.8921	0.1545	0.1244	-0.0279	0.4748	0.4509	2.5525	0.3698	3.854	1.5638	0.6611	1.0206	0.8368	1.3073
6.14	2.3651	2.2708	1.9278	2.9297	3.3533	1.7782	4.9069	0.8295	1.475	0.8227	-0.445	-0.071	3.041	0.6617	2.7101	1.3617	2.2187	1.164	2.6912	3.2013	2.8889	0.0779	0.2504	-0.0454	3.8695	3.9625	0.2921	4.9473	5.3903	1.5458	1.1748	2.6408	2.207	1.9586	2.8245	2.3342	0.2057	0.052	0.4369	2.5988	1.2528	3.4914	0.9433	5.4409	4.1946	2.2555	1.7054	2.422
6.1	1.521	1.0515	0.7285	0.5722	0.7457	0.6408	2.0849	3.5821	5.1396	0.0362	-0.4196	0.03	0.69	0.8276	0.769	1.648	0.4081	-1.0108	1.4305	4.2833	1.1658	0.0138	0.4196	-0.1462	0.9684	0.3592	0.2349	0.5895	1.3385	29.1432	25.0232	0.4665	0.3176	0.5377	0.7911	0.3214	0.1486	-0.0299	0.5367	0.5308	10.0717	0.4431	27.6943	1.3184	1.0141	1.164	1.0228	1.4175
6.06	5.6737	5.8285	3.4821	9.6477	9.3868	6.6071	4.5536	1.1305	1.3566	-0.1537	-0.544	-0.3295	8.8416	0.82	9.2593	4.8536	7.8671	24.6688	12.5274	75.0595	13.8702	-0.0101	0.2082	0.0258	9.2026	9.1062	2.4366	18.2565	9.875	2.3488	8.4845	13.1354	10.5474	2.1998	2.3082	3.0737	2.6195	3.4341	0.4496	5.9323	4.6239	16.1144	2.4804	11.8022	6.2269	3.6074	2.5855	3.3174
6.02	0.5686	2.1718	0.5409	1.9291	1.9539	2.0883	2.783	7.4658	13.6783	0.0257	-0.418	-0.2662	2.7151	3.1118	3.3813	6.5944	6.826	5.4028	10.7201	8.347	9.6304	0.1987	0.9896	1.0145	2.0133	1.5001	0.4249	2.5313	1.4705	2.9625	6.1347	7.9434	2.8542	1.303	2.1265	1.4224	0.5222	0.2778	5.3079	7.8147	9.2658	12.886	2.2608	2.5279	2.1901	6.6739	4.566	5.4155
5.98	2.0884	0.6179	1.4386	0.788	0.9849	0.8495	1.3943	2.0153	3.0053	1.1647	0.5305	0.3956	8.9153	4.9918	10.405	3.315	1.999	2.2112	2.4261	1.6851	2.6394	6.6622	5.5414	6.6341	1.1033	0.6847	0.1626	1.0456	4.5584	3.0353	2.9366	5.0972	19.2978	0.9463	1.9187	0.7046	0.168	-0.018	0.8748	3.5736	4.041	4.4039	1.3411	1.5642	0.9573	6.4253	5.1155	5.9556
5.94	0.9571	0.8028	0.9427	0.7895	0.8628	1.2327	2.911	0.8035	1.1153	0.9404	0.2053	0.2523	4.2495	0.7591	3.2612	1.4733	1.8323	0.2584	3.1765	1.5487	1.8815	5.5823	1.8264	3.5309	0.8751	0.7118	0.5009	0.8023	1.6996	1.2922	7.8578	3.2895	5.4791	1.1247	1.5154	1.4524	2.1486	2.2404	0.529	1.4523	10.0427	11.7017	1.4856	2.456	0.8487	3.8587	3.0328	4.5254
5.9	0.47	1.3686	0.1951	0.9086	1.6461	1.2409	1.0815	1.0493	1.1973	0.2261	-0.4821	-0.1627	1.5356	1.781	1.2111	2.8086	3.0447	5.3185	10.0833	7.77	6.5656	2.7387	1.9652	2.9099	1.8729	1.2599	0.4226	1.8013	0.601	0.5577	3.741	9.1713	1.609	0.2693	0.81	0.5438	1.2704	1.2377	2.5477	4.425	4.2746	5.8826	0.3697	1.2879	1.7468	0.8242	1.1932	1.524
5.86	-0.0339	0.4881	-0.0865	1.2218	0.7612	0.5969	1.161	1.5081	2.4499	-0.1288	-0.7478	-0.5157	0.3077	-0.4893	0.2501	5.9714	5.3421	0.8823	2.1481	3.5385	5.2874	0.0999	-0.3203	-0.517	0.7438	0.0509	0.5983	1.0867	0.3201	0.5497	1.4001	2.575	0.5898	-0.1168	0.7623	0.3454	1.3267	1.1583	1.9104	6.825	1.4361	1.4147	0.1331	0.4281	0.6133	0.674	0.9709	0.9564
5.82	-0.0222	0.3472	-0.1791	0.6703	0.4976	0.4818	1.2752	1.0127	0.9379	-0.1132	-0.737	-0.5326	-0.011	-0.4588	0.0886	2.2637	1.9769	-0.4482	1.2686	1.3281	1.4048	0.0064	-0.3335	-0.3863	0.4874	-0.109	0.2316	0.2725	0.4052	0.3682	0.6232	1.2332	0.9926	-0.2144	0.8011	0.423	2.376	2.4696	1.8863	1.4025	0.5317	1.6518	-0.0332	0.6258	0.5624	0.6446	0.854	0.9504
5.78	-0.0117	0.2946	-0.2262	0.5656	0.4691	0.4866	1.3147	0.559	0.817	-0.0876	-0.7314	-0.527	-0.0517	-0.4673	0.0144	0.7519	0.6395	-0.5596	0.1555	0.3001	0.48	-0.0171	-0.284	-0.3584	0.4648	-0.195	0.2226	-0.0078	0.2841	0.3593	0.6171	0.4899	0.3509	-0.2817	0.8459	0.3297	0.1777	-0.0256	2.7225	0.6441	0.4504	-0.1175	0.012	0.3647	0.3613	0.7199	0.8899	0.9972
5.74	-0.0264	0.3121	-0.2308	0.6196	0.4635	0.5204	1.363	0.492	0.5183	-0.0817	-0.7135	-0.5676	-0.1176	-0.4583	0.0174	0.7809	0.578	-0.7967	0.2638	0.5219	0.7527	-0.0423	-0.174	-0.3101	0.4645	-0.1498	0.2467	-0.0207	0.2737	0.2935	0.5807	0.5397	0.2439	-0.2763	0.8847	0.3713	0.3428	0.1412	0.4202	0.5685	0.4089	-0.1411	-0.0057	0.3304	0.3912	0.8162	0.9702	1.1306
5.7	0.1233	0.6461	-0.0694	0.9278	0.846	0.7105	1.5635	0.5747	0.5122	0.0094	-0.5648	-0.4396	-0.015	-0.389	0.1371	1.0595	0.7522	-0.7982	0.2052	0.5779	0.6689	0.0331	0.0159	-0.2046	0.8024	0.1289	0.3812	0.3742	0.4276	0.8397	0.8127	0.5883	0.2872	-0.1505	1.0565	0.8723	0.5356	0.2132	0.5945	0.9346	0.7714	0.059	0.4279	0.598	0.533	1.0888	1.2149	1.4303
5.66	0.304	0.7773	0.0315	0.7646	0.9374	0.7568	1.7837	0.7735	1.3773	0.2782	-0.3153	-0.175	0.3508	0.0053	0.6181	0.8326	0.7307	-0.6591	0.4282	0.5615	0.5764	0.4786	0.5021	0.3743	0.9246	0.2476	0.3217	0.3267	0.5951	0.8564	1.5597	0.6597	0.3832	0.1163	1.224	0.8173	0.3588	0.1129	0.7109	0.6747	1.4578	0.3109	0.7518	0.7246	0.6347	1.5553	1.5888	1.7756
5.62	0.6578	0.9986	0.5203	0.7141	0.982	0.9365	2.0205	0.7705	1.4281	0.3449	-0.2912	-0.2347	1.409	0.7605	2.1858	0.8446	1.1944	-0.7472	1.2466	0.9212	0.7225	1.0039	1.2368	0.8319	1.2292	0.6033	0.1335	0.2778	1.2872	0.635	1.4648	1.777	1.8947	0.3953	1.6777	0.9643	0.0641	-0.2297	0.7063	1.1427	2.3224	1.5704	0.5759	1.0427	0.9201	2.7942	2.4909	2.5607
5.58	0.2701	0.6929	0.038	0.9489	0.8054	0.8233	2.2465	0.8682	1.0554	0.2173	-0.2858	-0.323	0.3623	-0.1234	0.6571	1.0424	0.9528	-0.5422	0.5582	0.8606	0.8551	0.5908	0.7978	0.4247	0.9524	0.2664	0.1839	0.0603	0.5752	0.5872	1.0275	0.8924	0.5957	0.2004	1.297	0.6605	0.1221	-0.1653	0.2445	0.9766	0.9249	0.4537	0.369	0.5649	0.7128	1.5738	1.5978	1.7508
5.54	0.5409	0.9231	0.2554	1.3877	1.0699	1.0484	2.8862	0.8988	0.8395	0.433	-0.0634	-0.3468	1.006	0.7733	1.178	1.9115	1.7637	0.1855	1.7765	1.8784	1.8067	0.6462	1.4467	0.5847	1.371	0.6557	0.3051	0.4259	0.9755	1.1661	2.4763	1.5503	1.5572	0.0722	1.5329	0.73	0.1416	-0.1432	0.3014	1.835	2.3834	1.6714	1.1725	0.912	1.0199	2.454	2.2219	2.5222
5.5	0.7807	1.2031	0.5193	1.8224	1.6769	1.5275	3.5939	1.1906	1.2572	0.4948	0.2726	-0.2156	0.8472	0.8753	1.0598	2.2326	2.1749	-0.0182	1.2911	1.6753	1.9426	0.8139	1.7592	0.9928	1.8659	1.2264	0.4144	0.7459	1.1006	0.7948	1.456	1.6138	1.2339	0.2115	1.7391	1.007	0.388	0.0793	0.2994	1.9422	0.8643	1.3025	1.0794	1.2287	1.3937	2.0572	2.0138	2.0908
5.46	0.998	1.45	0.8701	2.7719	2.1109	2.0237	5.3334	1.5062	2.2026	0.5168	0.8367	0.0712	0.4103	1.9039	0.5429	2.3494	2.4285	1.0871	0.649	1.5296	2.1675	0.2038	2.1885	1.126	2.5661	2.0212	0.5105	0.494	1.082	1.2106	2.1136	1.3326	0.6749	0.3927	2.2404	1.2373	0.2471	-0.0696	0.5643	1.6686	1.0411	0.249	2.0642	1.3301	1.8459	2.1913	2.3012	2.0829
5.42	3.6949	3.8218	3.3897	6.0924	4.2311	4.4919	13.5324	2.6718	2.3709	6.5557	4.7556	3.6923	1.8611	18.6942	1.724	3.4281	5.0589	3.269	1.1187	2.6536	3.5382	3.4229	8.1121	6.6199	5.5979	5.4126	9.8779	1.3454	2.1728	3.0287	5.8391	2.0238	1.2377	1.3329	4.8397	2.5473	5.0446	6.2662	0.4999	2.5274	1.8174	0.5315	5.1219	2.698	3.8945	4.1292	4.2728	3.0557
5.38	12.3924	11.0253	14.4345	18.8133	14.4136	19.5013	16.8045	5.6439	5.0109	14.7362	11.9488	9.0542	6.6514	4.854	7.1414	8.2872	15.147	17.9555	4.667	7.1866	10.3654	4.1154	5.7084	5.0394	18.7514	21.0999	35.1884	5.5781	7.5215	8.4394	13.9952	6.4666	5.4643	5.0653	6.7059	7.0051	29.0077	33.7524	4.0425	7.7391	5.5385	3.4739	15.5314	9.7987	14.6095	7.0189	7.6005	6.0255
5.34	3.556	3.9853	4.711	9.396	14.5396	12.7566	3.9412	16.306	13.5648	0.2083	0.7475	0.0816	3.614	0.2619	2.6727	11.9096	7.2722	9.6202	3.9696	4.0972	10.2544	1.636	4.6783	0.4183	11.8167	13.4749	3.6404	6.3416	4.4862	4.4446	5.6404	12.5686	4.1198	4.0672	2.75	4.1864	5.4975	4.6344	30.2841	9.597	3.1398	2.265	14.8021	5.8236	10.2103	5.6999	6.8589	5.7478
