"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Location]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Elevation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Season]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Month of collection]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Year of collection]"	"Term Source REF"	"Term Accession Number"
"Espeletia105"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia standleyana A. C. Sm."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"105"	"P. of Santander/Norte de Santander"	""	""	"3627"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia106"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia steyermarkii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"106"	"P. of Santander/Norte de Santander"	""	""	"3864"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia107"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia steyermarkii Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"107"	"P. of Santander/Norte de Santander"	""	""	"3981"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia5"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia argentea Humb. & Bonpl. x Espeletia barclayana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"5"	"P. of Cundinamarca"	""	""	"3953"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia6"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia argentea f. phaneractis (S. F. Blake) Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"6"	"P. of Cundinamarca"	""	""	"3898"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"10"	""	""	"2009"	""	""
"Espeletia7"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia argentea f. phaneractis (S. F. Blake) Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"7"	"P. of Cundinamarca"	""	""	"3373"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"9"	""	""	"2009"	""	""
"Espeletia8"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia argentea Humb. & Bonpl."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"8"	"P. of Cundinamarca"	""	""	"3597"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia15"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia barclayana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"15"	"P. of Cundinamarca"	""	""	"3907"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season"	""	""	"8"	""	""	"2009"	""	""
"Espeletia16"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia barclayana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"16"	"P. of Cundinamarca"	""	""	"3528"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Dry season"	""	""	"12"	""	""	"2007"	""	""
"Espeletia17"	"Espeletia"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/185152"	"Espeletia barclayana Cuatrec."	""	""	"rosette leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0003086"	"Sample collection"	"17"	"P. of Cundinamarca"	""	""	"3869"	"meter"	"UO"	"http://purl.obolibrary.org/obo/UO_0000008"	"Rainy season to Dry Season"	""	""	"9"	""	""	"2009"	""	""
