"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Incubation Time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Cell Number]"	"Term Source REF"	"Term Accession Number"	"Factor Value[NS]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Neutrophil Activation]"	"Term Source REF"	"Term Accession Number"
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"36"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"37"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"38"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"39"	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4000000"	""	""	"256"	""	""	"PMA"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"40"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"41"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"42"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"43"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"44"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"45"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"46"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"47"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"48"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"128"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"49"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"50"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"51"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"256"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"52"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"53"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"54"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"55"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"56"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"57"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"9700000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"58"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"59"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"60"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2500000"	""	""	"512"	""	""	"no"	""	""
"Neutrophil"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"neutrophil"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000130"	"Sample collection"	"61"	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3500000"	""	""	"1024"	""	""	"no"	""	""
