"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[treatment]"	"Term Source REF"	"Term Accession Number"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 12 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 13 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 14 5x M1"	"65"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 2 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 3 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 4 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 5 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"QC 6 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"Quality control"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 15 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 16 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 17 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 18 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"no cop 19 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"control"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001461"
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 15 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 16 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 17 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 18 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
"Grazing experiment"	"Skeletonema marinoi"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/267567"	"Skeletonema marinoi str. V32"	""	""	"whole organism"	"EFO"	"http://purl.obolibrary.org/obo/UBERON_0000468"	"Sample collection"	"cop 19 5x M2"	"89"	"hour"	"UO"	"http://purl.obolibrary.org/obo/UO_0000032"	"grazed"	""	""
