"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Country of origin]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Population ID]"	"Term Source REF"	"Term Accession Number"	"Factor Value[MFFGC accession no.]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Type]"	"Term Source REF"	"Term Accession Number"
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0207_2"	"PG0207"	""	""	"2"	""	""	"NZ"	""	""	"GIL022"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0211_2"	"PG0211"	""	""	"2"	""	""	"NZ"	""	""	"GIL022"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0212_2"	"PG0212"	""	""	"2"	""	""	"NZ"	""	""	"GIL022"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0214_2"	"PG0214"	""	""	"2"	""	""	"NZ"	""	""	"GIL022"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0221_2"	"PG0221"	""	""	"2"	""	""	"NZ"	""	""	"GIL022"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0227_2"	"PG0227"	""	""	"2"	""	""	"NZ"	""	""	"GIL026"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0231_2"	"PG0231"	""	""	"2"	""	""	"NZ"	""	""	"GIL026"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0243_2"	"PG0243"	""	""	"2"	""	""	"NZ"	""	""	"GIL011"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0249_2"	"PG0249"	""	""	"2"	""	""	"NZ"	""	""	"GIL011"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0253_2"	"PG0253"	""	""	"2"	""	""	"NZ"	""	""	"GIL010"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0259_2"	"PG0259"	""	""	"2"	""	""	"NZ"	""	""	"GIL010"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0262_2"	"PG0262"	""	""	"2"	""	""	"NZ"	""	""	"GIL010"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0276_2"	"PG0276"	""	""	"2"	""	""	"NZ"	""	""	"GIL010"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0285_2"	"PG0285"	""	""	"2"	""	""	"NZ"	""	""	"GIL009"	""	""	""	""	""	"NZ elite breeding pool"	""	""
"C18_Neg_Batch_1"	"Lolium perenne"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/4522"	"leaf"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000713"	"Sample collection"	"PG0288_2"	"PG0288"	""	""	"2"	""	""	"NZ"	""	""	"GIL009"	""	""	""	""	""	"NZ elite breeding pool"	""	""
