"variable.name"	"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"
"X1254.85"	"CHEBI:17351"	"C18H32O2"	"CCCCCC=CCC=CCCCCCCCC(=O)O"	"InChI=1S/C18H32O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h6-7,9-10H,2-5,8,11-17H2,1H3,(H,19,20)/b7-6-,10-9-"	"A221003_Octadecadienoic acid, 9,12-(Z,Z)- (1TMS)"	NA	NA	NA	NA	1254.85	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1258.92"	"CHEBI:5457"	"C6H15O8P"	"C(C(COP(=O)(O)OCC(CO)O)O)O"	"InChI=1S/C6H15O8P/c7-1-5(9)3-13-15(11,12)14-4-6(10)2-8/h5-10H,1-4H2,(H,11,12)"	"A218002_Glycerophosphoglycerol (5TMS)"	NA	NA	NA	NA	1258.92	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1268.74"	"CHEBI:28842"	"C18H36O2"	"CCCCCCCCCCCCCCCCCC(=O)O"	"InChI=1S/C18H36O2/c1-2-3-4-5-6-7-8-9-10-11-12-13-14-15-16-17-18(19)20/h2-17H2,1H3,(H,19,20)"	"A225002_Octadecanoic acid (1TMS)"	NA	NA	NA	NA	1268.74	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1289.88"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1289.88	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1316.3"	"unknown"	""	""	""	"A228001"	NA	NA	NA	NA	1316.3	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1325.28"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1325.28	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1333.57"	"CHEBI:14314"	"C6H13O9P"	""	""	"A233002_Glucose-6-phosphate (1MEOX) (6TMS) MP"	NA	NA	NA	NA	1333.57	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1340.56"	"CHEBI:14314"	"C6H13O9P"	""	""	"A235002_Glucose-6-phosphate (1MEOX) (6TMS) BP"	NA	NA	NA	NA	1340.56	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1369.36"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1369.36	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1388.78"	"CHEBI:18297"	"C6H13O9P"	"C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O"	"InChI=1S/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)/t1?,2-,3+,4-,5-,6?/m1/s1"	"A243001_myo-Inositol-1-phosphate (7TMS)"	NA	NA	NA	NA	1388.78	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1406.47"	"unknown"	""	""	""	"A245002"	NA	NA	NA	NA	1406.47	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1407.43"	"CHEBI:18297"	"C6H13O9P"	"C1(C(C(C(C(C1O)O)OP(=O)(O)O)O)O)O"	"InChI=1S/C6H13O9P/c7-1-2(8)4(10)6(5(11)3(1)9)15-16(12,13)14/h1-11H,(H2,12,13,14)/t1?,2-,3+,4-,5-,6?/m1/s1"	"A249002_Inositol-1-phosphate, myo- (7TMS)"	NA	NA	NA	NA	1407.43	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1429.46"	"unknown"	""	""	""	"A249001"	NA	NA	NA	NA	1429.46	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1433.45"	"unknown"	""	""	""	"A252002"	NA	NA	NA	NA	1433.45	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1443.84"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1443.84	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1459.41"	"unknown"	""	""	""	"A260006"	NA	NA	NA	NA	1459.41	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1478.66"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1478.66	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1512.31"	"CHEBI:17992"	"C12H22O11"	"OC[C@H]1O[C@H](O[C@]2(CO)O[C@H](CO)[C@@H](O)[C@@H]2O)[C@H](O)[C@@H](O)[C@@H]1O"	"InChI=1S/C12H22O11/c13-1-4-6(16)8(18)9(19)11(21-4)23-12(3-15)10(20)7(17)5(2-14)22-12/h4-11,13-20H,1-3H2/t4-,5-,6-,7-,8+,9-,10+,11-,12+/m1/s1"	"A264001_Sucrose (8TMS)"	NA	NA	NA	NA	1512.31	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1547.35"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1547.35	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1557.51"	"unknown"	""	""	""	"A278013"	NA	NA	NA	NA	1557.51	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1570.64"	"CHEBI:17306"	"C12H22O11"	"C(C1C(C(C(C(O1)OC2C(OC(C(C2O)O)O)CO)O)O)O)O"	"InChI=1S/C12H22O11/c13-1-3-5(15)6(16)9(19)12(22-3)23-10-4(2-14)21-11(20)8(18)7(10)17/h3-20H,1-2H2/t3-,4-,5-,6+,7-,8-,9-,10-,11?,12-/m1/s1"	"A274001_Maltose (1MEOX) (8TMS) MP"	NA	NA	NA	NA	1570.64	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1579.53"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1579.53	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1612.79"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1612.79	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1626.35"	"unknown"	""	""	""	"A292005"	NA	NA	NA	NA	1626.35	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1644.01"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	1644.01	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1657.79"	"CHEBI:17505"	"C12H22O11"	"C(C1C(C(C(C(O1)OC2C(C(C(C(C2O)O)O)O)O)O)O)O)O"	"InChI=1S/C12H22O11/c13-1-2-3(14)4(15)10(21)12(22-2)23-11-8(19)6(17)5(16)7(18)9(11)20/h2-21H,1H2/t2-,3+,4+,5?,6-,7+,8+,9+,10-,11?,12-/m1/s1"	"A299002_Galactinol (9TMS)"	NA	NA	NA	NA	1657.79	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1693.96"	"unknown"	""	""	""	"A302001"	NA	NA	NA	NA	1693.96	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X1698.09"	"unknown"	""	""	""	"A301005"	NA	NA	NA	NA	1698.09	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
