"variable.name"	"database_identifier"	"chemical_formula"	"smiles"	"inchi"	"metabolite_identification"	"mass_to_charge"	"fragmentation"	"modifications"	"charge"	"retention_time"	"taxid"	"species"	"database"	"database_version"	"reliability"	"uri"	"search_engine"	"search_engine_score"	"smallmolecule_abundance_sub"	"smallmolecule_abundance_stdev_sub"	"smallmolecule_abundance_std_error_sub"
"X701.83"	"CHEBI:22660"	"C4H7NO4"	"NC(CC(O)=O)C(O)=O"	"InChI=1S/C4H7NO4/c5-2(4(8)9)1-3(6)7/h2H,1,5H2,(H,6,7)(H,8,9)"	"A144003_Aspartic acid (2TMS)"	NA	NA	NA	NA	701.83	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X706.05"	"CHEBI:16958"	"C3H7NO2"	"C(CN)C(=O)O"	"InChI=1S/C3H7NO2/c4-2-1-3(5)6/h1-2,4H2,(H,5,6)"	"A144001_Alanine, beta- (3TMS)"	NA	NA	NA	NA	706.05	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X715.49"	"CHEBI:27904"	"C4H8O4"	"C(C(C(C=O)O)O)O"	"InChI=1S/C4H8O4/c5-1-3(7)4(8)2-6/h1,3-4,6-8H,2H2/t3-,4+/m0/s1"	"D-(-)-Erythrose, tris(trimethylsilyl) ether, methyloxime (syn)?"	NA	NA	NA	NA	715.49	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X733.29"	"unknown"	""	""	""	"A145015"	NA	NA	NA	NA	733.29	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X757.23"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	757.23	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X759.01"	"CHEBI:6650"	"C4H6O5"	"C(C(C(=O)O)O)C(=O)O"	"InChI=1S/C4H6O5/c5-2(4(8)9)1-3(6)7/h2,5H,1H2,(H,6,7)(H,8,9)"	"A149001_Malic acid (3TMS)"	NA	NA	NA	NA	759.01	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X787.13"	"CHEBI:16010"	"C5H7NO3"	"C1CC(=O)NC1C(=O)O"	"InChI=1S/C5H7NO3/c7-4-2-1-3(6-4)5(8)9/h3H,1-2H2,(H,6,7)(H,8,9)"	"A153002_Pyroglutamic acid (2TMS)"	NA	NA	NA	NA	787.13	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X811.71"	"CHEBI:37654"	"C4H8O5"	""	""	"A154001_Erythronic acid (4TMS)"	NA	NA	NA	NA	811.71	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X818.25"	"CHEBI:48141"	"H6OSi2"	"O([SiH3])[SiH3]"	"InChI=1S/H6OSi2/c2-1-3/h2-3H3"	"Siloxane"	NA	NA	NA	NA	818.25	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
"X822.47"	"CHEBI:26984"	"C4H8O5"	""	""	"A156001_Threonic acid (4TMS)"	NA	NA	NA	NA	822.47	"NCBITAXON:http://purl.bioontology.org/ontology/NCBITAXON/3702"	"Arabidopsis thaliana"	NA	NA	NA	NA	NA	NA	NA	NA	NA
