"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Concentration]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Treatment group]"	"Term Source REF"	"Term Accession Number"
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"C4"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"C5"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"C6"	""	""	""	"control"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D1"	"High"	""	""	"silver nanoparticle"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D2"	"High"	""	""	"silver nanoparticle"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D5"	"High"	""	""	"silver nanoparticle"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"D6"	"High"	""	""	"silver nanoparticle"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"E1"	"Mid"	""	""	"silver nanoparticle"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"E2"	"Mid"	""	""	"silver nanoparticle"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"E3"	"Mid"	""	""	"silver nanoparticle"	""	""
"D. magna Bham2 strain"	"Daphnia magna"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/35525"	"Daphnia magna str. Bham2"	""	""	"whole organism"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0002906"	"Sample collection"	"E5"	"Mid"	""	""	"silver nanoparticle"	""	""
