"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[inflammation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"
"6-wk_WT_IB_male_520_21__30min_pos-neg_65"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c45"	"WT"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_IB_male_521_22__30min_pos-neg_74"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c46"	"WT"	""	""	"1"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_WT_IB_male_533_78__30min_pos-neg_16"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c47"	"WT"	""	""	"0"	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_HZ_IB_male_165_61__30min_pos-neg_87"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"c48"	"HZ"	""	""	""	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_CC_male_10_54__30min_pos-neg_15"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d49"	"KO"	""	""	"3"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_CC_male_13_56__30min_pos-neg_101"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d50"	"KO"	""	""	"16"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_CC_male_108_55__30min_pos-neg_50"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d51"	"KO"	""	""	"4"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_CC_male_115_53__30min_pos-neg_51"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d52"	"KO"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_CC_male_206_48__30min_pos-neg_68"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d53"	"KO"	""	""	"4"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_IB_male_363_57__30min_pos-neg_88"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d54"	"KO"	""	""	"1"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_IB_male_388_34__30min_pos-neg_89"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d55"	"KO"	""	""	"1"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_IB_male_389_35__30min_pos-neg_28"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d56"	"KO"	""	""	"9"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_IB_male_412_36__30min_pos-neg_106"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d57"	"KO"	""	""	"0"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_IB_male_437_40__30min_pos-neg_70"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d58"	"KO"	""	""	"0"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_IB_male_446_41__30min_pos-neg_85"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d59"	"KO"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_KO_IB_male_463_45__30min_pos-neg_95"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a-/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"d60"	"KO"	""	""	"4"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_CC_male_205_47__30min_pos-neg_75"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e61"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_CC_male_413_37__30min_pos-neg_38"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e62"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_CC_male_465_46__30min_pos-neg_77"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e63"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_164_60__30min_pos-neg_14"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e64"	"WT"	""	""	"4"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_246_49__30min_pos-neg_32"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e65"	"WT"	""	""	"1"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_249_50__30min_pos-neg_93"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e66"	"WT"	""	""	"4"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_250_51__30min_pos-neg_83"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e67"	"WT"	""	""	"0"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_251_52__30min_pos-neg_29"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e68"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_364_58__30min_pos-neg_49"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e69"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_365_59__30min_pos-neg_61"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e70"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_387_33__30min_pos-neg_25"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e71"	"WT"	""	""	"0"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_413_38__30min_pos-neg_55"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e72"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_435_39__30min_pos-neg_80"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e73"	"WT"	""	""	"0"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_449_42__30min_pos-neg_79"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e74"	"WT"	""	""	"1"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_460_43__30min_pos-neg_19"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e75"	"WT"	""	""	"4"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT_IB_male_462_44__30min_pos-neg_45"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e76"	"WT"	""	""	"0"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"18-wk_WT___male_365_62__30min_pos-neg_41"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"e77"	"WT"	""	""	"2"	""	""	"18"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
