"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[genotype]"	"Term Source REF"	"Term Accession Number"	"Factor Value[inflammation]"	"Term Source REF"	"Term Accession Number"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"
"QC__30min_pos-neg_78"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q11"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_84"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q12"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_90"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q13"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_96"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q14"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_102"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q15"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"QC__30min_pos-neg_107"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse;Mus musculus str. Mdr1a-/-;Mus musculus str. Mdr1a+/-"	"NCIT"	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"q16"	""	""	""	""	""	""	""	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_1_63__30min_pos-neg_26"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a01"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_3_64__30min_pos-neg_76"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a02"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_12_65__30min_pos-neg_43"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a03"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_20_66__30min_pos-neg_22"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a04"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_30_71__30min_pos-neg_63"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a05"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_34_73__30min_pos-neg_39"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a06"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_37_74__30min_pos-neg_100"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"FVB Mouse"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C37406"	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a07"	"WT"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ_CC_male_44_76__30min_pos-neg_31"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a08"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ___male_26_68__30min_pos-neg_73"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a09"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ___male_27_69__30min_pos-neg_82"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a10"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ___male_28_70__30min_pos-neg_23"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a11"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
"6-wk_HZ___male_33_72__30min_pos-neg_58"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. Mdr1a+/-"	""	""	"urine"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001419"	"Sample collection"	"a12"	"HZ"	""	""	""	""	""	"6"	"week"	"UO"	"http://purl.obolibrary.org/obo/UO_0000034"
