"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[time point]"	"Term Source REF"	"Term Accession Number"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0144_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0153_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0154_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0155_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0161_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0163_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0170_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0178_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0192_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0202_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0211_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0212_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0216_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0217_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0227_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0237_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0242_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0246_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0248_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0256_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0262_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0268_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0273_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0278_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0281_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0283_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0287_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0289_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0290_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0296_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0304_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0306_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0309_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0311_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0322_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0323_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0330_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0346_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0347_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0356_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0369_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0370_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0376_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0379_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0384_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0397_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0399_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
"blood"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"blood serum"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000133"	"Sample collection"	"0_0406_S"	"preop"	"HL7"	"http://purl.bioontology.org/ontology/HL7/C1555329"
