"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[filter usage]"	"Term Source REF"	"Term Accession Number"
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180921_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180924_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_03_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_04_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_06_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_08_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_09_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_10_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180925_11_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_03_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_05_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_06_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_07_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_08_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180926_10_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_03_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_07_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_08_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_09_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_10_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_12_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_13_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180927_14_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_01_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_02_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_04_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_05_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_06_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_07_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_08_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_09_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_10_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_11_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20180928_12_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181003_01_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181003_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181003_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181003_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181003_05_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181003_06_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181004_01_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181004_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181004_03_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S2"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181004_04_Pos_DOPAEx_02_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181004_05_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181008_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181008_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181008_04_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181010_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181010_02_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181010_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181012_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181012_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181012_04_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181015_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181015_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181015_03_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S3"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181016_01_Pos_DOPAEx_03_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181016_02_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S1"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181016_03_Pos_DOPAEx_01_SETP_0_7_SESI_4"	"Yes"	""	""
"S4"	"Homo sapiens"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/9606"	"Breath"	"NCIT"	"http://ncicb.nci.nih.gov/xml/owl/EVS/Thesaurus.owl#C94552"	"Sample collection"	"20181017_01_Pos_DOPAEx_04_SETP_0_7_SESI_4"	"Yes"	""	""
