"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[age]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[disease state]"	"Term Source REF"	"Term Accession Number"
"mdx2H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_mdx2H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx3H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_mdx3H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx4H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_5m_mdx4H"	"5"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"c571H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_c571H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c572H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_c572H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c573H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_c573H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c574H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_c574H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"mdx1H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_mdx1H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx2H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_mdx2H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx3H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_mdx3H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"mdx4H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"Mus musculus str. C57BL/10-Dmdmdx"	""	""	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_7m_mdx4H"	"7"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"mdx"	""	""
"c571H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_9m_c571H"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c572H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_9m_c572H"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c573H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_9m_c573H"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
"c574H"	"Mus musculus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10090"	"C57BL/10"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0000604"	"left ventricle"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0001629"	"Sample collection"	"MG_9m_c574H"	"9"	"month"	"UO"	"http://purl.obolibrary.org/obo/UO_0000035"	"heathy control"	""	""
