"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Cell type]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Bicarbonate treatment]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Incubation]"	"Unit"	"Term Source REF"	"Term Accession Number"	"Factor Value[Replicate]"	"Term Source REF"	"Term Accession Number"
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC30_3"	"guard cell"	""	""	"control"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC30_4"	"guard cell"	""	""	"control"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC1_1"	"guard cell"	""	""	"control"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC1_2"	"guard cell"	""	""	"control"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC1_3"	"guard cell"	""	""	"control"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC1_4"	"guard cell"	""	""	"control"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC2_1"	"guard cell"	""	""	"control"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC2_2"	"guard cell"	""	""	"control"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC2_3"	"guard cell"	""	""	"control"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GC2_4"	"guard cell"	""	""	"control"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS0_1"	"guard cell"	""	""	"treatment"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS0_2"	"guard cell"	""	""	"treatment"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS0_3"	"guard cell"	""	""	"treatment"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS0_4"	"guard cell"	""	""	"treatment"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS5_1"	"guard cell"	""	""	"treatment"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS5_2"	"guard cell"	""	""	"treatment"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS5_3"	"guard cell"	""	""	"treatment"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS5_4"	"guard cell"	""	""	"treatment"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS15_1"	"guard cell"	""	""	"treatment"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS15_2"	"guard cell"	""	""	"treatment"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS15_3"	"guard cell"	""	""	"treatment"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS15_4"	"guard cell"	""	""	"treatment"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS30_1"	"guard cell"	""	""	"treatment"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS30_2"	"guard cell"	""	""	"treatment"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS30_3"	"guard cell"	""	""	"treatment"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS30_4"	"guard cell"	""	""	"treatment"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS1_1"	"guard cell"	""	""	"treatment"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS1_2"	"guard cell"	""	""	"treatment"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS1_3"	"guard cell"	""	""	"treatment"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS1_4"	"guard cell"	""	""	"treatment"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS2_1"	"guard cell"	""	""	"treatment"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS2_2"	"guard cell"	""	""	"treatment"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS2_3"	"guard cell"	""	""	"treatment"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"GS2_4"	"guard cell"	""	""	"treatment"	""	""	"120"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC0_1"	"mesophyll cell"	""	""	"control"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC0_2"	"mesophyll cell"	""	""	"control"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC0_3"	"mesophyll cell"	""	""	"control"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC0_4"	"mesophyll cell"	""	""	"control"	""	""	"0"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC5_1"	"mesophyll cell"	""	""	"control"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC5_2"	"mesophyll cell"	""	""	"control"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC5_3"	"mesophyll cell"	""	""	"control"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC5_4"	"mesophyll cell"	""	""	"control"	""	""	"5"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC15_1"	"mesophyll cell"	""	""	"control"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC15_2"	"mesophyll cell"	""	""	"control"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC15_3"	"mesophyll cell"	""	""	"control"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC15_4"	"mesophyll cell"	""	""	"control"	""	""	"15"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC30_1"	"mesophyll cell"	""	""	"control"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC30_2"	"mesophyll cell"	""	""	"control"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC30_3"	"mesophyll cell"	""	""	"control"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC30_4"	"mesophyll cell"	""	""	"control"	""	""	"30"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"4"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC1_1"	"mesophyll cell"	""	""	"control"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"1"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC1_2"	"mesophyll cell"	""	""	"control"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"2"	""	""
"Leaf"	"Brassica napus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/3708"	"Brassica napus var. Gobal "	""	""	"leaf lamina"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000719"	"Sample collection"	"MC1_3"	"mesophyll cell"	""	""	"control"	""	""	"60"	"minute"	"UO"	"http://purl.obolibrary.org/obo/UO_0000031"	"3"	""	""
