"Source Name"	"Characteristics[Organism]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Variant]"	"Term Source REF"	"Term Accession Number"	"Characteristics[Organism part]"	"Term Source REF"	"Term Accession Number"	"Protocol REF"	"Sample Name"	"Factor Value[Experimental group]"	"Term Source REF"	"Term Accession Number"	"Factor Value[Tissue location]"	"Term Source REF"	"Term Accession Number"
"RIF_C"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"C6"	"SO"	""	""	"left kidney"	""	""
"RIF_C"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"C7"	"SO"	""	""	"left kidney"	""	""
"RIF_C"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"C8"	"SO"	""	""	"left kidney"	""	""
"RIF_C"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"C9"	"SO"	""	""	"left kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D1"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D2"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D3"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D4"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D5"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D6"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D7"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D8"	"SO"	""	""	"right kidney"	""	""
"RIF_D"	"Rattus norvegicus"	"NCBITAXON"	"http://purl.bioontology.org/ontology/NCBITAXON/10116"	"Sprague Dawley"	"EFO"	"http://www.ebi.ac.uk/efo/EFO_0001352"	"kidney"	"BTO"	"http://purl.obolibrary.org/obo/BTO_0000671"	"Sample collection"	"D9"	"SO"	""	""	"right kidney"	""	""
